Address,info_a,info_b,price,size
"Torivoudinpolku 1 A, Oulunkylä, Helsinki","
				Kerrostalo, 1930
			","
				3 h, k, 2 x wc, khh, 2 x kh, s (Yj 2-3 h+k)
			","
444 000 €


","

444 000 €




97 m²



"
"Kalevankatu 44 A, Kamppi, Helsinki","
				Kerrostalo, 1948
			","
				2h+avok+alkovi+kph (yhtiöjärjestyksen mukaan 1h+k+alkovi)
			","
358 000 €


","

358 000 €




48 m²



"
"Johan Sederholmin tie 8 B, Herttoniemi, Helsinki","
				Kerrostalo, 1990
			","
				2h+kk+s
			","
204 000 €


","

204 000 €




47,5 m²



"
"Aarteenetsijänkuja 8 B, Vesala, Helsinki","
				Kerrostalo, 1988
			","
				Oh k, rt, 2mh, kph, s, las.parv
			","
145 000 €


","

145 000 €




68,5 m²



"
"Poutuntie 7 A, Pohjois-Haaga, Helsinki","
				Kerrostalo, 1954
			","
				2h+avok+kph+parveke (yhtiöjärjestyksen mukaan 2h+k)
			","
238 000 €


","

238 000 €




46,6 m²



"
"Priki Venuksen kuja 5 A, Sompasaari, Helsinki","
				Kerrostalo, 2019
			","
				3h+avok+lasitettu parveke+s
			","
370 000 €


","

370 000 €




67,5 m²



"
"Töölönkatu 52 A, Töölö, Helsinki","
				Kerrostalo, 1937
			","
				3h,kk,2x kph,parveke
			","
569 000 €


","

569 000 €




89 m²



"
"Kauppalantie 44 A, Etelä-Haaga, Helsinki","
				Kerrostalo, 1959
			","
				3h, k, kph + parveke
			","
350 000 €


","

350 000 €




67 m²



"
"Gustav Pauligin katu 8 A, Aurinkolahti, Helsinki","
				Kerrostalo, 2004
			","
				3 h + avok + s + kph + wc + vh + las.parveke
			","
347 000 €


","

347 000 €




73,5 m²



"
"Luuvaniementie 3, Niemenmäki, Helsinki","
				Kerrostalo, 1964
			","
				3h+k+kph+wc+kht+lasit. parv
			","
430 000 €


","

430 000 €




78 m²



"
"Saunalahdentie 13, Munkkiniemi, Helsinki","
				Kerrostalo, 1962
			","
				3h+k
			","
539 000 €


","

539 000 €




67 m²



"
"Mustankivenkatu 3, Vuosaari, Helsinki","
				Kerrostalo, 1999
			","
				3h, k, kph, s, wc, las.parveke
			","
249 000 €


","

249 000 €




73 m²



"
"Kotinummentie 4, Ylä-Malmi, Helsinki","
				Kerrostalo, 1983
			","
				3h, k, s, kph, erill wc, 2 vh, lasit.parveke, varasto
			","
175 000 €


","

175 000 €




85,5 m²



"
"Trumpettitie 8 f, Kannelmäki, Helsinki","
				Kerrostalo, 1978
			","
				3h,k,kph,vh,et, las.parveke
			","
145 000 €


","

145 000 €




74,5 m²



"
"Väinämöisenkatu 21 A, Etu-Töölö, Helsinki","
				Kerrostalo, 1935
			","
				2-3h, k, kph, vh, et
			","
482 000 €


","

482 000 €




62 m²



"
"Näyttelijäntie 4 A, Pohjois-Haaga, Helsinki","
				Kerrostalo, 1954
			","
				2h, avok, kph, ransk.parveke
			","
239 000 €


","

239 000 €




48 m²



"
"Pakilantie 8 B, Maunula, Helsinki","
				Kerrostalo, 1962
			","
				3h+k+kph+las.parv (yhtiöjärjestyksen mukaan 3h+k+kh+p)
			","
249 500 €


","

249 500 €




61,5 m²



"
"Kauriintie 3 C, Siltamäki, Helsinki","
				Kerrostalo, 1968
			","
				2h+k+kph+las.parv.
			","
162 000 €


","

162 000 €




62 m²



"
"Koirasaarentie 21 B, Kruunuvuorenranta, Helsinki","
				Kerrostalo, 2016
			","
				3h, avok, kph, s,lasitettu parveke
			","
260 000 €


","

260 000 €




60,5 m²



"
"Ratakatu 1, Punavuori, Helsinki","
				Kerrostalo, 1920
			","
				2h, k, kph
			","
529 000 €


","

529 000 €




54,5 m²



"
"Ouluntie 1 E, Vallila, Helsinki","
				Kerrostalo, 1925
			","
				2h, avok, wc, suihkutila (2 h+tpk+wc+sh)
			","
268 000 €


","

268 000 €




40 m²



"
"Urheilukatu 14 A, Taka-Töölö, Helsinki","
				Kerrostalo, 1938
			","
				3h+kk+kph+vh
			","
585 000 €


","

585 000 €




104 m²



"
"Gunnel Nymanin piha 2, Arabianranta, Helsinki","
				Kerrostalo, 2005
			","
				3h, k, s, kph, sauna, wc, lasitettu parveke
			","
550 000 €


","

550 000 €




95,5 m²



"
"Solvikinkatu 2, Aurinkolahti, Helsinki","
				Kerrostalo, 2001
			","
				2 h, avokeittiö, kph/sauna, lasitettu parveke
			","
217 000 €


","

217 000 €




45,5 m²



"
"Klaavuntie 7 E, Puotila, Helsinki","
				Kerrostalo, 1961
			","
				2h + K + vaatehuone + parveke
			","
149 000 €


","

149 000 €




48,5 m²



"
"Asiakkaankatu 2, Vartiokylä, Helsinki","
				Kerrostalo, 1977
			","
				2h + k + kph + p
			","
152 000 €


","

152 000 €




58,5 m²



"
"Opastinsilta 9 A, Itä-Pasila, Helsinki","
				Kerrostalo, 1977
			","
				3h+k+wc+kph+lasit.parveke
			","
295 000 €


","

295 000 €




72,5 m²



"
"Kinaporinkatu 3 A, Kallio, Helsinki","
				Kerrostalo, 1938
			","
				1-2h+avok+alkovi+kph (yhtiöjärjestyksen mukaan 2 h+kk+kph)
			","
248 000 €


","

248 000 €




43 m²



"
"Korppaanmäentie 16 B, Pikku-Huopalahti, Helsinki","
				Kerrostalo, 1992
			","
				3h+k
			","
375 000 €


","

375 000 €




75 m²



"
"Merikatu 9 A, Ullanlinna, Helsinki","
				Kerrostalo, 1908
			","
				2h + k
			","
895 000 €


","

895 000 €




77 m²



"
"Taidemaalarinkatu 16 A, Kuninkaantammi, Helsinki","
				Kerrostalo, 2019
			","
				2h,avok.,vh,kph,s ja lasitettu parveke (YJ:n mukaan 2h+kt+s)
			","
235 000 €


","

235 000 €




49 m²



"
"Punahilkantie 12, Roihuvuori, Helsinki","
				Kerrostalo, 1957
			","
				2h, avokeittiö, ruokailutila, kph, parveke ja ranskalainen parveke
			","
228 000 €


","

228 000 €




56,5 m²



"
"Fabianinkatu 13 C, Kaartinkaupunki, Helsinki","
				Kerrostalo, 1905
			","
				2h, avokeittiö ja kph
			","
745 000 €


","

745 000 €




85 m²



"
"Maaherrantie 34 A 07, Oulunkylä, Helsinki","
				Kerrostalo, 2023
			","
				3H+KT+S
			","
427 800 €


				Hoitovastike 311,8 €/kk
			
","

427 800 €


				Hoitovastike 311,8 €/kk
			


72,5 m²

				5 900,7 €/m²
			


2/7

				Kerros
			

"
"Saaristolaivastonkatu 2, Kruunuvuorenranta, Helsinki","
				Kerrostalo, 2019
			","
				3h + p
			","
499 000 €


","

499 000 €




85 m²



"
"Kontukuja 4, Kontula, Helsinki","
				Kerrostalo, 1970
			","
				2h, k, kph, p
			","
115 000 €


","

115 000 €




59 m²



"
"Merimiehenkatu 31 C, Punavuori, Helsinki","
				Kerrostalo, 1938
			","
				3h, k, sauna
			","
890 000 €


","

890 000 €




94 m²



"
"Mannerheimintie 92 B, Taka-Töölö, Helsinki","
				Kerrostalo, 1930
			","
				2h
			","
238 000 €


","

238 000 €




45 m²



"
"Rajatie 2, Tapaninkylä, Helsinki","
				Kerrostalo, 2009
			","
				3h+k+s
			","
47 556 €


","

47 556 €




78,5 m²



"
"Haapatie 11, Tapaninvainio, Helsinki","
				Rivitalo, 1987
			","
				2h, avok, pesuhuone, löylyhuone
			","
218 000 €


","

218 000 €




52 m²



"
"Poutuntie 14, Haaga, Helsinki","
				Kerrostalo, 2011
			","
				3h+k+s
			","
41 782 €


","

41 782 €




77,5 m²



"
"Takomotie 14 B, Pitäjänmäki, Helsinki","
				Kerrostalo, 2005
			","
				2h,avok, kph,las.p (yj. 2h+kk)
			","
227 500 €


","

227 500 €




42 m²



"
"Pohjoinen Hesperiankatu 37 C, Taka-Töölö, Helsinki","
				Kerrostalo, 1954
			","
				3H+K+KPH+PARVEKE
			","
560 000 €


","

560 000 €




63 m²



"
"Riukutie 5, Konala, Helsinki","
				Rivitalo, 1979
			","
				3h + k + s + p
			","
238 000 €


","

238 000 €




74,5 m²



"
"Mikael Soinisen tie 3 B, Pukinmäki, Helsinki","
				Rivitalo, 1986
			","
				3h+k+kph+s+kph/wc+erill.wc+parveke, terassi ja autokatos
			","
254 000 €


","

254 000 €




79,5 m²



"
"Mäkelänkatu 4 d, Vallila, Helsinki","
				Kerrostalo, 1950
			","
				2h, avok, kph
			","
228 000 €


","

228 000 €




44 m²



"
"Haagan urheilutie 9, Etelä-Haaga, Helsinki","
				Kerrostalo, 1959
			","
				2h, avok, kph, rt ja lasitettu parveke
			","
248 000 €


","

248 000 €




45 m²



"
"Iiluodontie 9 As, Aurinkolahti, Helsinki","
				Kerrostalo, 2006
			","
				2h+k+s
			","
368 000 €


","

368 000 €




63,5 m²



"
"Katajaharjuntie 2-4 A 59, Lauttasaari, Helsinki","
				Kerrostalo, 1963
			","
				3h, avok, kph, vh, 2 lasit. parv.
			","
662 000 €


","

662 000 €




67 m²



"
"Vanhaistentie 4, Kannelmäki, Helsinki","
				Kerrostalo, 1960
			","
				2h, kk, kph, vh ja lasitettu parveke
			","
148 000 €


","

148 000 €




48,1 m²



"
"Johtokivenkuja 4 C, Malmi, Helsinki","
				Kerrostalo, 1969
			","
				3h,k,kph,erill.wc,vh,et,las.parv.
			","
247 000 €


","

247 000 €




63 m²



"
"Lauttasaarentie 52 B, Lauttasaari, Helsinki","
				Kerrostalo, 2017
			","
				2h, avok, kph, vh, piha
			","
346 900 €


","

346 900 €




45 m²



"
