price,size,piperepair_plug,pipe_repair,sq_price,area,year_built,room_num,sqprice_adjusted
444000.0,97.0,1612.5,1980,4577.32, Oulunkylä,1930.0,3,6189.82
358000.0,48.0,937.5,1998,7458.33, Kamppi,1948.0,2,8395.83
204000.0,47.0,0.0,2040,4340.43, Herttoniemi,1990.0,2,4340.43
145000.0,68.0,0.0,2038,2132.35, Vesala,1988.0,O,2132.35
238000.0,46.0,712.5,2004,5173.91, Pohjois-Haaga,1954.0,2,5886.41
370000.0,67.0,0.0,2069,5522.39, Sompasaari,2019.0,3,5522.39
569000.0,89.0,1350.0,1987,6393.26, Töölö,1937.0,3,7743.26
350000.0,67.0,525.0,2009,5223.88, Etelä-Haaga,1959.0,3,5748.88
347000.0,73.0,0.0,2054,4753.42, Aurinkolahti,2004.0,3,4753.42
430000.0,78.0,337.5,2014,5512.82, Niemenmäki,1964.0,3,5850.32
539000.0,67.0,412.5,2012,8044.78, Munkkiniemi,1962.0,3,8457.279999999999
249000.0,73.0,0.0,2049,3410.96, Vuosaari,1999.0,3,3410.96
175000.0,85.0,0.0,2033,2058.82, Ylä-Malmi,1983.0,3,2058.82
145000.0,74.0,0.0,2028,1959.46, Kannelmäki,1978.0,3,1959.46
482000.0,62.0,1425.0,1985,7774.19, Etu-Töölö,1935.0,2,9199.189999999999
239000.0,48.0,712.5,2004,4979.17, Pohjois-Haaga,1954.0,2,5691.67
249500.0,61.0,412.5,2012,4090.16, Maunula,1962.0,3,4502.66
162000.0,62.0,187.5,2018,2612.9, Siltamäki,1968.0,2,2800.4
260000.0,60.0,0.0,2066,4333.33, Kruunuvuorenranta,2016.0,3,4333.33
529000.0,54.0,1987.5,1970,9796.3, Punavuori,1920.0,2,11783.8
268000.0,40.0,1800.0,1975,6700.0, Vallila,1925.0,2,8500.0
585000.0,10.0,1312.5,1988,58500.0, Taka-Töölö,1938.0,3,59812.5
550000.0,95.0,0.0,2055,5789.47, Arabianranta,2005.0,3,5789.47
217000.0,45.0,0.0,2051,4822.22, Aurinkolahti,2001.0,2,4822.22
149000.0,48.0,450.0,2011,3104.17, Puotila,1961.0,2,3554.17
152000.0,58.0,0.0,2027,2620.69, Vartiokylä,1977.0,2,2620.69
295000.0,72.0,0.0,2027,4097.22, Itä-Pasila,1977.0,3,4097.22
248000.0,43.0,1312.5,1988,5767.44, Kallio,1938.0,1,7079.94
375000.0,75.0,0.0,2042,5000.0, Pikku-Huopalahti,1992.0,3,5000.0
895000.0,77.0,2437.5,1958,11623.38, Ullanlinna,1908.0,2,14060.88
235000.0,49.0,0.0,2069,4795.92, Kuninkaantammi,2019.0,2,4795.92
228000.0,56.0,600.0,2007,4071.43, Roihuvuori,1957.0,2,4671.43
745000.0,85.0,2550.0,1955,8764.71, Kaartinkaupunki,1905.0,2,11314.71
427800.0,72.0,0.0,2073,5941.67, Oulunkylä,2023.0,3,5941.67
499000.0,85.0,0.0,2069,5870.59, Kruunuvuorenranta,2019.0,3,5870.59
115000.0,59.0,112.5,2020,1949.15, Kontula,1970.0,2,2061.65
890000.0,94.0,1312.5,1988,9468.09, Punavuori,1938.0,3,10780.59
238000.0,45.0,1612.5,1980,5288.89, Taka-Töölö,1930.0,2,6901.39
47556.0,78.0,0.0,2059,609.69, Tapaninkylä,2009.0,3,609.69
218000.0,52.0,0.0,2037,4192.31, Tapaninvainio,1987.0,2,4192.31
41782.0,77.0,0.0,2061,542.62, Haaga,2011.0,3,542.62
227500.0,42.0,0.0,2055,5416.67, Pitäjänmäki,2005.0,2,5416.67
560000.0,63.0,712.5,2004,8888.89, Taka-Töölö,1954.0,3,9601.39
238000.0,74.0,0.0,2029,3216.22, Konala,1979.0,3,3216.22
254000.0,79.0,0.0,2036,3215.19, Pukinmäki,1986.0,3,3215.19
228000.0,44.0,862.5,2000,5181.82, Vallila,1950.0,2,6044.32
248000.0,45.0,525.0,2009,5511.11, Etelä-Haaga,1959.0,2,6036.11
368000.0,63.0,0.0,2056,5841.27, Aurinkolahti,2006.0,2,5841.27
662000.0,67.0,375.0,2013,9880.6, Lauttasaari,1963.0,3,10255.6
148000.0,48.0,487.5,2010,3083.33, Kannelmäki,1960.0,2,3570.83
247000.0,63.0,150.0,2019,3920.63, Malmi,1969.0,3,4070.63
346900.0,45.0,0.0,2067,7708.89, Lauttasaari,2017.0,2,7708.89
371900.0,48.0,0.0,2066,7747.92, Konepaja,2016.0,2,7747.92
209000.0,70.0,0.0,2039,2985.71, Tapanila,1989.0,3,2985.71
239000.0,60.0,0.0,2030,3983.33, Tapaninkylä,1980.0,2,3983.33
51416.0,65.0,0.0,2074,791.02, Kalasatama,2024.0,3,791.02
339200.0,46.0,0.0,2073,7373.91, Haaga,2023.0,2,7373.91
217000.0,54.0,0.0,2048,4018.52, Veräjälaakso,1998.0,2,4018.52
168000.0,43.0,600.0,2007,3906.98, Pohjois-Haaga,1957.0,2,4506.98
232000.0,41.0,1687.5,1978,5658.54, Kallio,1928.0,2,7346.04
315000.0,69.0,0.0,2070,4565.22, Roihuvuori,2020.0,3,4565.22
299000.0,50.0,1350.0,1987,5980.0, Kallio,1937.0,2,7330.0
27118.0,75.0,0.0,2048,361.57, Pitäjänmäki,1998.0,3,361.57
248000.0,57.0,0.0,2039,4350.88, Haaga,1989.0,2,4350.88
445817.0,76.0,0.0,2075,5866.01, Tammisalo,2025.0,3,5866.01
487399.0,67.0,0.0,2075,7274.61, Kalasatama,2025.0,3,7274.61
338350.0,45.0,0.0,2075,7518.89, Kalasatama,2025.0,2,7518.89
279000.0,45.0,0.0,2055,6200.0, Pikku-Huopalahti,2005.0,2,6200.0
310000.0,78.0,0.0,2045,3974.36, Munkkivuori,1995.0,3,3974.36
49741.0,68.0,0.0,2064,731.49, Suurmetsä,2014.0,3,731.49
