"12ey -- 1. Asukasrakenne, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Asukkaiden keski-ikä (HE)","2010",41,41,40,41,40,43,41,39,38,41,43,0,0,42,40,45,39,41,46,40,44,42,45,40,41,44,40,37,40,43,35,41,39,46,38,40,41,42,0,40,36,42,40,39,45,42,45,46,43,38,43,39,40,38,39,43,42,37,39,38,38,40,42,30,43,37,41,44,44,37,28,41,39,34,46,43,44,41,40,41,41,42,38,40
"Asukkaiden keski-ikä (HE)","2011",41,41,40,41,40,43,41,39,37,41,43,0,0,42,40,45,39,40,44,40,42,41,45,41,41,44,40,38,40,43,36,41,39,45,38,40,41,42,0,39,36,42,39,40,45,42,46,45,43,38,44,39,40,38,40,42,42,38,39,38,39,40,43,32,43,37,41,44,45,38,29,40,38,34,45,43,44,41,41,41,41,42,39,40
"Asukkaiden keski-ikä (HE)","2012",41,41,40,41,40,44,41,38,38,41,43,63,0,43,40,45,39,40,44,40,42,41,45,41,41,43,40,38,39,43,36,41,39,45,38,40,40,42,29,39,35,42,39,40,45,42,45,45,43,39,44,40,41,38,40,42,42,38,39,38,39,41,43,32,43,37,42,44,45,38,28,40,41,35,44,44,43,41,41,41,42,43,39,41
"Asukkaiden keski-ikä (HE)","2013",41,41,41,41,40,44,41,39,38,41,43,34,0,42,40,44,39,40,44,40,42,41,45,42,41,43,40,38,39,43,36,41,40,45,38,39,40,42,35,39,36,42,38,40,44,42,44,45,43,39,44,40,41,38,40,42,42,39,39,38,39,40,43,32,43,38,42,44,45,38,29,41,38,36,44,43,43,42,41,41,42,42,39,41
"Asukkaiden keski-ikä (HE)","2014",41,41,41,42,40,44,41,39,38,40,43,33,0,43,40,45,39,40,44,40,42,41,45,43,40,43,40,39,40,42,36,41,40,45,38,39,40,42,35,39,36,42,37,41,44,42,44,44,43,39,44,40,41,38,40,42,42,39,40,39,39,39,43,32,43,38,42,44,45,39,28,40,37,36,44,43,42,42,41,42,43,42,40,41
"Asukkaiden keski-ikä (HE)","2015",41,41,41,42,40,44,41,39,37,41,43,34,0,42,40,44,39,40,42,40,42,41,44,43,40,42,40,39,40,42,37,42,40,45,38,39,40,41,37,39,36,42,36,41,44,42,44,44,42,39,43,41,41,38,40,42,42,39,40,39,40,39,44,33,42,38,42,44,45,39,28,40,42,37,44,43,42,42,41,42,42,42,40,41
"Asukkaiden keski-ikä (HE)","2016",41,41,41,42,40,44,41,39,38,40,43,33,0,42,40,45,39,40,42,41,42,40,45,43,40,42,40,40,40,42,37,42,39,45,38,39,39,42,37,39,36,42,37,39,44,41,44,44,42,40,44,41,41,39,40,42,42,40,40,39,40,39,44,33,42,39,42,44,45,39,28,40,42,37,44,43,42,42,41,42,43,43,40,41
"Asukkaiden keski-ikä (HE)","2017",41,41,41,42,40,44,41,39,39,40,43,33,0,42,40,45,39,40,44,41,41,40,45,44,41,42,40,40,40,42,37,42,39,45,38,39,39,42,37,39,36,41,37,38,44,42,45,43,42,40,44,41,41,39,41,42,42,40,40,39,40,39,44,33,42,39,42,44,45,39,28,40,42,38,44,43,41,42,41,42,43,43,40,42
"Asukkaiden keski-ikä (HE)","2018",41,41,42,42,41,45,42,39,39,40,43,33,0,42,40,45,40,41,44,42,42,40,45,44,41,42,40,40,41,42,37,42,40,44,38,39,39,42,37,39,37,41,37,39,44,42,44,44,42,40,44,41,41,39,41,42,42,40,41,39,41,39,45,34,42,39,42,44,45,40,29,40,43,40,44,43,41,42,41,42,43,43,41,42
"Asukkaiden keski-ikä (HE)","2019",42,41,42,42,41,44,42,39,37,40,43,34,0,42,40,45,40,41,45,42,42,40,45,44,41,42,40,41,41,42,37,42,39,45,38,39,40,42,36,39,37,42,38,39,44,42,44,44,42,40,44,42,41,39,41,42,42,40,41,39,41,39,45,34,42,39,42,44,45,40,29,40,44,40,43,43,41,42,41,42,43,43,41,43
