"13mt -- Vanhojen osakeasuntojen neliöhinnat ja kauppojen lukumäärät postinumeroalueittain, neljännesvuosittain, 2009Q1-2024Q2*"

"Talotyyppi","Vuosineljännes","Neliöhinta (EUR/m2) 00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Neliöhinta (EUR/m2) 00120  Punavuori - Bulevardi (Helsinki)","Neliöhinta (EUR/m2) 00130  Kaartinkaupunki (Helsinki)","Neliöhinta (EUR/m2) 00140  Kaivopuisto - Ullanlinna (Helsinki)","Neliöhinta (EUR/m2) 00150  Punavuori - Eira - Hernesaari (Helsinki)","Neliöhinta (EUR/m2) 00160  Katajanokka (Helsinki)","Neliöhinta (EUR/m2) 00170  Kruununhaka (Helsinki)","Neliöhinta (EUR/m2) 00180  Kamppi - Ruoholahti (Helsinki)","Neliöhinta (EUR/m2) 00190  Suomenlinna (Helsinki)","Neliöhinta (EUR/m2) 00200  Pohjois-Lauttasaari (Helsinki)","Neliöhinta (EUR/m2) 00210  Vattuniemi (Helsinki)","Neliöhinta (EUR/m2) 00220  Jätkäsaari (Helsinki)","Neliöhinta (EUR/m2) 00240  Länsi-Pasila (Helsinki)","Neliöhinta (EUR/m2) 00250  Taka-Töölö (Helsinki)","Neliöhinta (EUR/m2) 00260  Keski-Töölö (Helsinki)","Neliöhinta (EUR/m2) 00270  Pohjois-Meilahti (Helsinki)","Neliöhinta (EUR/m2) 00280  Ruskeasuo (Helsinki)","Neliöhinta (EUR/m2) 00290  Meilahden sairaala-alue (Helsinki)","Neliöhinta (EUR/m2) 00300  Pikku Huopalahti (Helsinki)","Neliöhinta (EUR/m2) 00310  Kivihaka (Helsinki)","Neliöhinta (EUR/m2) 00320  Etelä-Haaga (Helsinki)","Neliöhinta (EUR/m2) 00330  Munkkiniemi (Helsinki)","Neliöhinta (EUR/m2) 00340  Kuusisaari - Lehtisaari (Helsinki)","Neliöhinta (EUR/m2) 00350  Munkkivuori - Niemenmäki (Helsinki)","Neliöhinta (EUR/m2) 00360  Pajamäki (Helsinki)","Neliöhinta (EUR/m2) 00370  Reimarla (Helsinki)","Neliöhinta (EUR/m2) 00380  Pitäjänmäen yritysalue (Helsinki)","Neliöhinta (EUR/m2) 00390  Konala (Helsinki)","Neliöhinta (EUR/m2) 00400  Pohjois-Haaga (Helsinki)","Neliöhinta (EUR/m2) 00410  Malminkartano (Helsinki)","Neliöhinta (EUR/m2) 00420  Kannelmäki (Helsinki)","Neliöhinta (EUR/m2) 00430  Maununneva - Kuninkaantammi (Helsinki)","Neliöhinta (EUR/m2) 00440  Lassila (Helsinki)","Neliöhinta (EUR/m2) 00500  Sörnäinen - Harju (Helsinki)","Neliöhinta (EUR/m2) 00510  Alppila - Vallila (Helsinki)","Neliöhinta (EUR/m2) 00520  Itä- ja Keski-Pasila (Helsinki)","Neliöhinta (EUR/m2) 00530  Kallio (Helsinki)","Neliöhinta (EUR/m2) 00540  Kalasatama - Sompasaari (Helsinki)","Neliöhinta (EUR/m2) 00550  Vallila - Hermanni (Helsinki)","Neliöhinta (EUR/m2) 00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","Neliöhinta (EUR/m2) 00570  Kulosaari (Helsinki)","Neliöhinta (EUR/m2) 00580  Kalasatama - Kyläsaari (Helsinki)","Neliöhinta (EUR/m2) 00590  Kruunuvuorenranta (Helsinki)","Neliöhinta (EUR/m2) 00600  Koskela (Helsinki)","Neliöhinta (EUR/m2) 00610  Käpylä (Helsinki)","Neliöhinta (EUR/m2) 00620  Metsälä - Etelä-Oulunkylä (Helsinki)","Neliöhinta (EUR/m2) 00630  Maunula (Helsinki)","Neliöhinta (EUR/m2) 00640  Oulunkylä - Patola (Helsinki)","Neliöhinta (EUR/m2) 00650  Veräjämäki (Helsinki)","Neliöhinta (EUR/m2) 00660  Länsi-Pakila (Helsinki)","Neliöhinta (EUR/m2) 00670  Paloheinä (Helsinki)","Neliöhinta (EUR/m2) 00680  Itä-Pakila (Helsinki)","Neliöhinta (EUR/m2) 00690  Torpparinmäki (Helsinki)","Neliöhinta (EUR/m2) 00700  Malmi (Helsinki)","Neliöhinta (EUR/m2) 00710  Pihlajamäki - Viikinmäki (Helsinki)","Neliöhinta (EUR/m2) 00720  Pukinmäki (Helsinki)","Neliöhinta (EUR/m2) 00730  Tapanila (Helsinki)","Neliöhinta (EUR/m2) 00740  Siltamäki (Helsinki)","Neliöhinta (EUR/m2) 00750  Tapulikaupunki (Helsinki)","Neliöhinta (EUR/m2) 00760  Puistola - Heikinlaakso (Helsinki)","Neliöhinta (EUR/m2) 00770  Jakomäki - Alppikylä (Helsinki)","Neliöhinta (EUR/m2) 00780  Tapaninvainio (Helsinki)","Neliöhinta (EUR/m2) 00790  Viikki (Helsinki)","Neliöhinta (EUR/m2) 00800  Länsi-Herttoniemi (Helsinki)","Neliöhinta (EUR/m2) 00810  Herttoniemenranta (Helsinki)","Neliöhinta (EUR/m2) 00820  Roihuvuori (Helsinki)","Neliöhinta (EUR/m2) 00830  Tammisalo (Helsinki)","Neliöhinta (EUR/m2) 00840  Yliskylä (Helsinki)","Neliöhinta (EUR/m2) 00850  Jollas (Helsinki)","Neliöhinta (EUR/m2) 00870  Gunillanmäki - Hevossalmi (Helsinki)","Neliöhinta (EUR/m2) 00880  Keski-Herttoniemi - Roihupelto (Helsinki)","Neliöhinta (EUR/m2) 00890  Östersundom (Helsinki)","Neliöhinta (EUR/m2) 00900  Puotinharju (Helsinki)","Neliöhinta (EUR/m2) 00910  Puotila (Helsinki)","Neliöhinta (EUR/m2) 00920  Myllypuro (Helsinki)","Neliöhinta (EUR/m2) 00930  Itäkeskus - Marjaniemi (Helsinki)","Neliöhinta (EUR/m2) 00940  Kontula - Vesala - Kivikko (Helsinki)","Neliöhinta (EUR/m2) 00950  Vartioharju (Helsinki)","Neliöhinta (EUR/m2) 00960  Pohjois-Vuosaari (Helsinki)","Neliöhinta (EUR/m2) 00970  Mellunmäki (Helsinki)","Neliöhinta (EUR/m2) 00980  Etelä-Vuosaari (Helsinki)","Neliöhinta (EUR/m2) 00990  Aurinkolahti (Helsinki)"
"Kerrostalo kaksiot","2009Q1",4156,4416,...,4839,4223,4981,4300,4039,.,3473,3996,.,...,4050,4354,3590,3469,.,...,...,2798,3743,...,2818,...,2347,...,2503,2537,...,2159,.,2448,3197,3197,2994,3458,.,2936,3903,...,.,.,.,3230,2575,2049,2441,...,...,...,.,...,2288,2021,2455,2440,2025,2072,...,...,2460,2963,2689,2868,2491,...,2282,.,...,.,.,2030,2195,1802,...,2155,...,2140,2143,2280,3283
"Kerrostalo kaksiot","2009Q2",4351,5212,...,4861,4748,4718,4253,4621,.,3560,4084,.,...,4197,4265,3868,...,.,...,...,2977,3641,...,3098,2387,...,...,2326,2600,...,2185,.,2911,3210,3228,3118,3508,.,3101,3711,3678,.,.,...,3251,2588,2352,2632,2424,...,...,.,.,2738,2158,2375,2483,2043,2052,...,...,2636,3330,2943,3367,2215,...,2466,.,...,.,.,2095,2336,2009,2365,2065,...,2072,2371,2630,3533
"Kerrostalo kaksiot","2009Q3",4398,5050,...,4921,4916,5094,4739,4628,.,3587,4074,.,...,4353,4377,4053,4437,.,...,...,2968,4256,.,3101,2564,2966,...,2559,2848,...,2530,.,2777,3406,3464,3322,3708,.,3045,3818,3242,.,.,.,3326,...,2306,2489,...,...,...,...,...,2562,2376,2635,2684,2076,2500,...,...,...,3647,2967,2840,2482,...,...,.,...,.,.,2455,2378,2128,...,2206,...,2243,2418,2565,3884
"Kerrostalo kaksiot","2009Q4",4895,5310,...,5617,5259,...,5074,4999,.,3876,4498,.,...,4473,4566,4329,...,.,...,...,3314,3738,...,3347,2738,2890,3974,2498,3014,2543,2374,...,2795,3699,3670,3142,3897,.,3419,3919,...,.,.,...,3584,2976,2591,2832,...,...,.,...,...,2501,2223,2660,2853,2139,...,.,...,...,3571,3072,3841,2666,...,2945,.,...,.,.,2472,2495,2378,...,2212,...,2404,2402,2744,4143
"Kerrostalo kaksiot","2010Q1",5188,5318,...,5463,5004,6043,5021,4978,.,3916,4249,.,...,4468,4740,4413,...,.,4000,...,3341,4130,...,3338,2571,3021,4007,2613,3014,2502,2853,...,2999,3859,3751,3191,4033,.,3548,4437,3523,.,.,...,3809,...,2571,2805,...,...,.,.,.,2720,2347,2524,3229,2261,...,...,...,2887,3770,2900,...,2683,.,2598,.,...,.,.,2385,2499,2332,...,2354,...,2093,2378,2399,3762
"Kerrostalo kaksiot","2010Q2",5125,5399,...,5706,5321,5507,5186,5091,.,4081,4317,.,...,4639,4967,4313,4731,.,...,...,3429,4325,...,3366,2792,2933,...,2642,2980,...,2692,...,3074,3807,3744,3802,4121,.,3476,4138,...,.,.,...,3449,2909,2392,2935,...,...,.,...,.,2926,2554,2678,...,2394,...,...,2069,...,3650,3390,3366,2540,...,2672,.,...,.,.,2347,2489,2401,...,2229,...,2369,2491,2721,4070
"Kerrostalo kaksiot","2010Q3",5092,5555,...,5954,5318,5294,5117,4860,.,4134,4859,.,3257,4660,5524,4421,3848,.,...,...,3368,4252,...,3332,2910,...,...,2824,3142,2401,2691,...,...,3924,3964,3561,3982,.,3653,4448,...,...,.,...,3639,...,2560,2744,...,...,.,.,.,2665,2325,2699,2894,2369,2496,...,...,...,...,3118,3745,2644,.,2814,.,...,.,.,2512,2712,2417,...,2371,...,2264,2473,2819,3618
"Kerrostalo kaksiot","2010Q4",5005,5505,...,5357,5283,...,5571,5220,.,4268,4802,.,...,4660,...,4514,4317,.,...,...,3628,4151,...,3713,...,2959,...,2818,3151,2375,2614,.,2983,4010,3721,3586,3991,.,3589,4413,...,.,.,...,3799,2816,2651,2936,...,.,.,.,...,2795,2505,2718,2958,...,...,...,2066,...,3571,3355,...,2678,...,2797,.,...,.,.,...,2572,2256,2668,2302,...,2547,2496,2685,4194
"Kerrostalo kaksiot","2011Q1",5760,5575,...,5943,5670,...,5669,5332,.,4329,4454,.,...,4972,5318,4527,4372,.,...,...,3595,4437,...,3523,3158,3136,...,2714,3151,2524,2556,...,...,4061,4124,3410,4370,.,3761,4359,3661,...,.,...,3759,2930,2743,3007,...,...,.,.,...,2780,2337,2825,3010,2303,...,...,...,...,3744,3077,3941,2707,...,2972,.,...,.,.,2436,2893,2433,...,2427,...,2305,2376,2749,3828
"Kerrostalo kaksiot","2011Q2",5911,5567,...,6500,5731,5575,5950,5233,.,4503,4535,.,...,4938,5435,4725,4457,.,...,...,3735,4333,...,3759,3143,3189,...,2604,3164,...,2787,.,3152,4100,4046,3538,4133,.,3955,4625,3802,...,.,...,4013,3162,2612,2863,...,...,.,.,.,3149,2356,2906,2846,2522,...,...,2143,3324,3740,3291,3999,2727,...,2949,.,...,.,.,2526,2992,2404,...,2426,...,2293,2554,2608,4083
"Kerrostalo kaksiot","2011Q3",5527,5472,...,6357,5704,...,5730,5552,.,4430,4811,.,...,4814,4843,4488,...,...,...,.,3701,4629,...,3520,2690,3118,...,2803,3318,...,2758,.,3299,4060,3972,3967,4412,.,3845,4461,...,.,.,...,3778,2933,2638,3042,...,...,.,...,...,2813,2444,3022,3098,...,...,...,2008,3001,3770,3355,...,2727,...,2938,.,...,.,.,2575,3103,2340,...,2409,...,2491,2534,2576,3816
"Kerrostalo kaksiot","2011Q4",5598,5085,...,6280,6088,5431,5618,5540,.,4361,4668,.,...,4856,5251,4677,4421,.,...,...,3507,4696,...,3745,3046,3172,...,2689,3396,...,2619,.,3315,4186,3926,3822,4361,.,3610,4580,...,...,.,2827,3857,3129,2737,2949,...,.,.,.,.,2845,2450,2825,2953,...,...,...,...,...,3758,3426,4013,2850,.,2735,.,...,.,.,2507,2979,2490,...,2375,2837,2422,2426,2774,4121
"Kerrostalo kaksiot","2012Q1",6108,5960,...,6208,5894,6352,5416,5685,.,4503,4760,.,...,4963,5150,4841,4703,.,...,.,3616,4598,...,3964,...,3255,4497,2852,3336,2582,2843,...,3362,4113,3965,3662,4259,.,3881,4414,4044,...,.,...,4023,3228,2714,3130,...,...,.,.,.,2958,2785,2975,2956,...,...,.,...,3035,...,3382,3907,2760,...,3033,.,...,.,.,2432,3136,2617,...,2366,...,2443,2514,2603,4231
