"12f1 -- 3. Asukkaiden käytettävissä olevat rahatulot, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)","2010",6425,2408,465,2574,3598,1630,2616,5182,311,5806,2219,0,0,2437,4870,2169,3397,1258,77,2496,425,4446,3179,393,3955,954,2738,1660,2281,4622,4074,6967,1579,2342,6938,4941,3282,9982,0,4882,4248,1206,572,92,2118,3948,1422,4325,3515,1706,2036,1612,1176,868,6411,6386,4358,4563,4432,4117,2783,3376,2885,3474,3643,4783,3843,555,3443,831,169,2142,23,449,1953,3290,5011,2994,12996,2033,3455,5295,10444,2733
"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)","2011",6545,2451,485,2653,3728,1683,2589,5114,318,5874,2372,0,0,2501,5019,2223,3481,1263,78,2608,437,4662,3246,379,4030,955,2795,1960,2664,4849,4170,7132,1633,2322,7213,5044,3305,10203,0,4917,4584,1208,726,102,2149,4054,1377,4339,3570,1766,2063,1639,1178,910,6797,6474,4421,4682,4529,4251,2879,3428,3055,3882,3639,4925,3913,569,3502,867,185,2334,27,447,1974,3314,5083,3023,13246,2064,3522,5466,10663,2832
"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)","2012",6660,2422,464,2637,3791,1694,2558,5339,294,5858,2468,62,0,2551,4958,2311,3466,1244,79,2625,454,4591,3262,374,4001,976,2788,1987,2788,4839,4128,7112,1599,2335,7209,4936,3345,10099,251,4860,5076,1244,835,97,2091,4021,1346,4189,3626,1781,2050,1592,1204,960,6844,6434,4344,4725,4545,4163,2893,3335,3048,4102,3603,5234,3944,582,3432,843,182,2324,27,470,2081,3301,5502,2913,13306,2065,3543,5507,10633,3238
"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)","2013",6639,2539,454,2595,3758,1663,2575,5554,305,5914,2569,488,0,2677,4913,2282,3383,1254,73,2587,462,4627,3206,362,4086,950,2797,2044,2877,4876,4036,7084,1572,2312,7150,5105,3424,10176,575,4818,5092,1242,1079,78,2092,3940,1382,4249,3654,1769,2038,1661,1134,976,6878,6646,4398,4637,4579,4232,2894,3614,3041,4106,3572,5270,3914,600,3489,858,154,2322,222,472,2178,3312,5493,3038,13279,2009,3575,5684,10676,3294
"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)","2014",6749,2506,458,2534,3691,1634,2527,5750,297,5844,2608,903,0,2607,4849,2233,3456,1308,69,2584,459,4682,3151,365,4143,958,2894,2076,2916,4877,4110,7132,1637,2341,7196,5088,3418,10247,669,4877,5217,1220,1145,88,2080,4057,1387,4270,3677,1752,2070,1623,1185,960,6904,6750,4454,4705,4639,4108,2924,3493,3022,4195,3662,5318,3863,594,3454,878,145,2284,310,480,2238,3360,5787,2987,13217,1957,3554,5662,10526,3409
"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)","2015",6718,2543,501,2574,3683,1636,2572,5761,295,5852,2669,902,0,2614,4846,2269,3410,1348,71,2627,443,4817,3139,361,4174,944,2925,2048,2923,4797,4147,7146,1664,2325,7228,5110,3494,10206,882,4846,5458,1224,1214,84,2049,3959,1436,4370,3600,1770,2075,1598,1128,960,6859,6622,4452,4691,4564,4197,2889,3580,2985,4204,3584,5341,3882,602,3481,837,135,2278,388,466,2212,3399,5909,3033,13290,2062,3740,5679,10722,3534
"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)","2016",6669,2492,467,2628,3841,1596,2584,5990,268,5979,2717,1241,0,2575,5010,2254,3464,1312,71,2607,442,5021,3121,399,4180,947,2868,2113,2893,4919,4227,7294,1734,2353,7365,5242,3496,10125,1001,5042,5559,1233,1250,396,2036,3922,1406,4272,3710,1699,2072,1619,1137,939,7001,6555,4444,4725,4551,4361,2871,3624,3108,4282,3495,5452,3789,568,3425,857,129,2684,388,482,2187,3334,6081,2966,13304,2188,3742,5673,10641,3652
"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)","2017",6787,2509,441,2567,3759,1592,2605,6056,288,6179,2882,2301,0,2635,5031,2204,3487,1341,62,2613,451,5094,3257,384,4133,931,2899,2179,2975,4986,4229,7329,1995,2404,7317,5371,3523,10172,1043,4961,5584,1293,1245,449,2063,3952,1465,4272,3690,1720,2074,1610,1160,965,6928,6680,4498,4776,4686,4401,2863,3798,3060,4379,3620,5434,3885,587,3479,823,127,2835,406,505,2189,3303,6199,3008,13314,2294,3741,5698,10888,3747
"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)","2018",6759,2501,445,2494,3648,1608,2602,5919,280,6071,2777,2716,0,2810,4935,2204,3494,1318,60,2655,463,5003,3181,425,4112,955,2879,2193,3088,4929,4455,7165,2143,2492,7083,5364,3510,10055,1171,4928,5758,1271,1257,974,2033,3890,1415,4191,3625,1746,2012,1581,1123,983,6903,6548,4491,4734,4731,4395,2852,3844,3019,4455,3605,5405,3896,585,3570,817,131,2819,409,492,2221,3111,6531,3003,13106,2317,3722,5601,11090,3824
"Keskimmäiseen tuloluokkaan kuuluvat asukkaat (HR)","2019",6595,2389,450,2484,3604,1703,2560,6050,269,6047,2830,2897,0,2796,4951,2230,3489,1297,55,2654,479,4992,3276,431,4041,970,2965,2189,3010,4894,4568,7120,2700,2315,6975,5302,3484,9931,1623,4785,5716,1231,1411,1115,1898,3811,1407,4130,3835,1715,1970,1628,1132,985,6884,6627,4579,4742,4717,4292,2852,3907,3027,4315,3504,5873,3936,598,3520,809,134,2851,387,459,2197,3117,6531,2953,12935,2428,3686,5668,11101,3769
