"13mt -- Vanhojen osakeasuntojen neliöhinnat ja kauppojen lukumäärät postinumeroalueittain, neljännesvuosittain, 2009Q1-2024Q2*"

"Vuosineljännes","Talotyyppi","Neliöhinta (EUR/m2) 00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Neliöhinta (EUR/m2) 00120  Punavuori - Bulevardi (Helsinki)","Neliöhinta (EUR/m2) 00130  Kaartinkaupunki (Helsinki)","Neliöhinta (EUR/m2) 00140  Kaivopuisto - Ullanlinna (Helsinki)","Neliöhinta (EUR/m2) 00150  Punavuori - Eira - Hernesaari (Helsinki)","Neliöhinta (EUR/m2) 00160  Katajanokka (Helsinki)","Neliöhinta (EUR/m2) 00170  Kruununhaka (Helsinki)","Neliöhinta (EUR/m2) 00180  Kamppi - Ruoholahti (Helsinki)","Neliöhinta (EUR/m2) 00190  Suomenlinna (Helsinki)","Neliöhinta (EUR/m2) 00200  Pohjois-Lauttasaari (Helsinki)","Neliöhinta (EUR/m2) 00210  Vattuniemi (Helsinki)","Neliöhinta (EUR/m2) 00220  Jätkäsaari (Helsinki)","Neliöhinta (EUR/m2) 00240  Länsi-Pasila (Helsinki)","Neliöhinta (EUR/m2) 00250  Taka-Töölö (Helsinki)","Neliöhinta (EUR/m2) 00260  Keski-Töölö (Helsinki)","Neliöhinta (EUR/m2) 00270  Pohjois-Meilahti (Helsinki)","Neliöhinta (EUR/m2) 00280  Ruskeasuo (Helsinki)","Neliöhinta (EUR/m2) 00290  Meilahden sairaala-alue (Helsinki)","Neliöhinta (EUR/m2) 00300  Pikku Huopalahti (Helsinki)","Neliöhinta (EUR/m2) 00310  Kivihaka (Helsinki)","Neliöhinta (EUR/m2) 00320  Etelä-Haaga (Helsinki)","Neliöhinta (EUR/m2) 00330  Munkkiniemi (Helsinki)","Neliöhinta (EUR/m2) 00340  Kuusisaari - Lehtisaari (Helsinki)","Neliöhinta (EUR/m2) 00350  Munkkivuori - Niemenmäki (Helsinki)","Neliöhinta (EUR/m2) 00360  Pajamäki (Helsinki)","Neliöhinta (EUR/m2) 00370  Reimarla (Helsinki)","Neliöhinta (EUR/m2) 00380  Pitäjänmäen yritysalue (Helsinki)","Neliöhinta (EUR/m2) 00390  Konala (Helsinki)","Neliöhinta (EUR/m2) 00400  Pohjois-Haaga (Helsinki)","Neliöhinta (EUR/m2) 00410  Malminkartano (Helsinki)","Neliöhinta (EUR/m2) 00420  Kannelmäki (Helsinki)","Neliöhinta (EUR/m2) 00430  Maununneva - Kuninkaantammi (Helsinki)","Neliöhinta (EUR/m2) 00440  Lassila (Helsinki)","Neliöhinta (EUR/m2) 00500  Sörnäinen - Harju (Helsinki)","Neliöhinta (EUR/m2) 00510  Alppila - Vallila (Helsinki)","Neliöhinta (EUR/m2) 00520  Itä- ja Keski-Pasila (Helsinki)","Neliöhinta (EUR/m2) 00530  Kallio (Helsinki)","Neliöhinta (EUR/m2) 00540  Kalasatama - Sompasaari (Helsinki)","Neliöhinta (EUR/m2) 00550  Vallila - Hermanni (Helsinki)","Neliöhinta (EUR/m2) 00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","Neliöhinta (EUR/m2) 00570  Kulosaari (Helsinki)","Neliöhinta (EUR/m2) 00580  Kalasatama - Kyläsaari (Helsinki)","Neliöhinta (EUR/m2) 00590  Kruunuvuorenranta (Helsinki)","Neliöhinta (EUR/m2) 00600  Koskela (Helsinki)","Neliöhinta (EUR/m2) 00610  Käpylä (Helsinki)","Neliöhinta (EUR/m2) 00620  Metsälä - Etelä-Oulunkylä (Helsinki)","Neliöhinta (EUR/m2) 00630  Maunula (Helsinki)","Neliöhinta (EUR/m2) 00640  Oulunkylä - Patola (Helsinki)","Neliöhinta (EUR/m2) 00650  Veräjämäki (Helsinki)","Neliöhinta (EUR/m2) 00660  Länsi-Pakila (Helsinki)","Neliöhinta (EUR/m2) 00670  Paloheinä (Helsinki)","Neliöhinta (EUR/m2) 00680  Itä-Pakila (Helsinki)","Neliöhinta (EUR/m2) 00690  Torpparinmäki (Helsinki)","Neliöhinta (EUR/m2) 00700  Malmi (Helsinki)","Neliöhinta (EUR/m2) 00710  Pihlajamäki - Viikinmäki (Helsinki)","Neliöhinta (EUR/m2) 00720  Pukinmäki (Helsinki)","Neliöhinta (EUR/m2) 00730  Tapanila (Helsinki)","Neliöhinta (EUR/m2) 00740  Siltamäki (Helsinki)","Neliöhinta (EUR/m2) 00750  Tapulikaupunki (Helsinki)","Neliöhinta (EUR/m2) 00760  Puistola - Heikinlaakso (Helsinki)","Neliöhinta (EUR/m2) 00770  Jakomäki - Alppikylä (Helsinki)","Neliöhinta (EUR/m2) 00780  Tapaninvainio (Helsinki)","Neliöhinta (EUR/m2) 00790  Viikki (Helsinki)","Neliöhinta (EUR/m2) 00800  Länsi-Herttoniemi (Helsinki)","Neliöhinta (EUR/m2) 00810  Herttoniemenranta (Helsinki)","Neliöhinta (EUR/m2) 00820  Roihuvuori (Helsinki)","Neliöhinta (EUR/m2) 00830  Tammisalo (Helsinki)","Neliöhinta (EUR/m2) 00840  Yliskylä (Helsinki)","Neliöhinta (EUR/m2) 00850  Jollas (Helsinki)","Neliöhinta (EUR/m2) 00870  Gunillanmäki - Hevossalmi (Helsinki)","Neliöhinta (EUR/m2) 00880  Keski-Herttoniemi - Roihupelto (Helsinki)","Neliöhinta (EUR/m2) 00890  Östersundom (Helsinki)","Neliöhinta (EUR/m2) 00900  Puotinharju (Helsinki)","Neliöhinta (EUR/m2) 00910  Puotila (Helsinki)","Neliöhinta (EUR/m2) 00920  Myllypuro (Helsinki)","Neliöhinta (EUR/m2) 00930  Itäkeskus - Marjaniemi (Helsinki)","Neliöhinta (EUR/m2) 00940  Kontula - Vesala - Kivikko (Helsinki)","Neliöhinta (EUR/m2) 00950  Vartioharju (Helsinki)","Neliöhinta (EUR/m2) 00960  Pohjois-Vuosaari (Helsinki)","Neliöhinta (EUR/m2) 00970  Mellunmäki (Helsinki)","Neliöhinta (EUR/m2) 00980  Etelä-Vuosaari (Helsinki)","Neliöhinta (EUR/m2) 00990  Aurinkolahti (Helsinki)"
"2009Q1","Kerrostalo kolmiot+",4067,5386,...,4674,5804,...,4182,4133,.,3721,3993,.,...,3675,4067,3420,...,.,...,...,2679,3545,...,2740,...,...,...,2207,2314,1985,2069,...,2213,3247,...,2775,3339,.,...,...,3368,.,.,...,2983,...,2113,2486,...,.,.,.,.,2139,1903,2170,...,...,...,...,...,...,...,2419,...,2023,...,2279,.,...,.,.,1805,2055,1630,2106,1789,.,...,1933,2125,3222
"2009Q2","Kerrostalo kolmiot+",4075,4781,...,5244,5008,5008,5012,4620,.,3736,4742,.,...,3962,3808,3850,...,.,3488,...,2641,3846,...,2806,...,...,...,2128,2333,...,2070,...,2623,3237,3257,...,3857,.,...,3805,3385,.,.,...,2904,...,2283,2391,...,.,.,.,.,2326,1916,2258,...,2119,1880,...,...,...,3013,2613,3117,2106,...,2318,...,...,.,.,...,2100,1641,2166,1849,...,...,2015,2503,3252
"2009Q3","Kerrostalo kolmiot+",4380,5038,...,5514,5261,5408,4823,4426,.,3701,4754,.,...,3966,4680,3723,3690,.,...,.,3233,3816,...,3014,...,...,...,2093,2578,...,2388,...,2578,3438,3824,...,3551,.,...,...,3572,.,.,...,2882,...,2204,...,...,...,.,.,.,2329,1847,2258,...,...,...,...,...,2011,3135,2754,3306,2184,...,2360,...,...,.,.,...,2354,1807,...,1911,...,...,2046,2341,3601
"2009Q4","Kerrostalo kolmiot+",4331,5554,...,5838,5601,5383,4853,4642,.,3735,4393,.,...,4194,4810,4030,3605,.,...,...,3245,4463,...,3251,2762,2487,...,2324,2435,...,2321,...,2578,3644,3539,2991,3924,.,3755,4245,3269,.,.,...,3088,...,2217,2546,...,...,...,.,.,2421,2051,2443,2583,2185,2015,...,1732,...,3271,2943,3455,2292,...,2465,...,...,.,.,2133,2367,1911,...,1894,...,...,2297,2460,3996
"2010Q1","Kerrostalo kolmiot+",5017,6473,5059,6229,6201,5355,5330,4407,.,4023,4439,.,3261,4281,5158,4131,...,.,...,...,3262,4182,...,3179,...,...,...,...,2809,...,2462,.,2772,...,...,3001,3817,.,...,4099,3411,.,.,...,3344,...,2436,2583,...,.,...,.,.,2464,2678,2509,...,2163,2028,...,1666,...,3248,...,3251,2441,.,2570,...,...,.,.,2122,2406,2018,...,2095,.,...,2053,2674,3889
"2010Q2","Kerrostalo kolmiot+",5528,5984,...,6648,6269,5240,5348,4898,.,4085,4831,.,...,4711,5386,4259,4004,.,...,...,3330,4508,...,3584,...,...,...,2334,2833,2429,2298,...,2544,3741,3391,3671,3951,.,3148,4088,...,...,.,...,3579,...,2457,2778,...,.,.,...,.,2733,2314,2341,...,...,2030,.,...,.,3228,3134,3668,2426,.,2632,.,...,.,.,2142,2565,1968,...,2029,.,2375,2109,3034,3786
"2010Q3","Kerrostalo kolmiot+",4885,5929,...,6583,6030,...,5560,4724,.,4463,4740,.,...,4432,4351,4353,4131,.,...,...,3462,4278,...,3606,...,2609,3614,...,2802,...,2492,...,2755,4047,3687,3101,4209,.,3831,...,...,.,.,...,3506,...,2166,2702,...,.,.,...,.,2407,2493,2582,...,...,...,...,...,...,3567,3156,4412,2493,...,2902,...,...,.,.,2059,2552,2107,...,2037,...,...,2311,2709,4020
"2010Q4","Kerrostalo kolmiot+",5522,5778,...,6116,6432,5087,5417,4981,.,4241,4667,.,...,4425,4895,4347,4036,...,...,3109,3509,4331,...,3335,...,...,...,2350,2902,...,2320,...,2857,3818,3474,3134,3943,.,3747,5106,3519,...,.,...,3650,...,2297,2757,...,...,.,...,.,2545,2495,2558,...,2032,...,.,1780,...,3445,3165,4083,2427,.,2795,...,...,.,.,2111,2504,2011,...,2046,.,...,2325,2383,3808
"2011Q1","Kerrostalo kolmiot+",5688,5705,...,7147,6439,...,5565,4712,.,4430,4837,.,...,4548,5427,4382,4114,.,...,...,3560,4356,...,3485,...,2695,3878,2551,2946,...,2332,.,3159,4114,...,3562,4485,.,3721,4626,3896,...,.,...,3919,...,...,2991,...,...,.,.,.,2749,2353,2631,2676,2347,2270,...,1790,...,...,3194,3316,2659,.,3128,.,.,.,.,...,...,2042,2367,2139,...,2179,2155,2676,4084
"2011Q2","Kerrostalo kolmiot+",5740,5708,...,6960,6275,7156,5728,5166,.,4737,4843,.,...,4905,5646,4239,4757,.,...,3376,3486,4433,...,3752,2953,2663,...,...,3188,2480,2364,.,3047,3896,...,3678,4434,.,3792,4418,3623,...,.,...,3771,...,2614,2772,...,...,.,.,.,2487,2338,2629,...,2209,...,...,...,...,3500,3283,3664,2470,...,2805,...,...,.,.,2201,2782,1996,2693,1995,.,...,2144,2599,4041
"2011Q3","Kerrostalo kolmiot+",5478,5563,...,6761,6669,...,5369,5292,.,4670,4902,.,...,4501,4982,4400,...,.,...,.,3520,4345,.,3527,3157,2987,...,...,3174,2604,2376,.,2880,4239,...,4109,3818,.,3639,4498,3707,...,.,.,3875,2980,2362,2705,.,...,.,.,.,2690,2316,2575,...,...,...,...,1876,2569,3730,...,3719,2314,.,2652,...,...,.,.,...,2726,2141,...,1947,.,...,2252,2589,3939
"2011Q4","Kerrostalo kolmiot+",5074,5341,...,7092,5797,...,5632,4686,.,4545,4938,.,...,4632,4869,4460,...,.,...,...,3566,4659,...,3912,...,...,...,...,2993,...,2234,...,2846,3402,3634,3556,4475,.,...,4588,3762,...,.,...,3829,2808,2378,2972,...,.,.,.,.,...,2510,2609,...,...,2193,.,1980,...,3429,...,3705,2504,.,2417,.,...,.,.,...,2841,2215,...,2059,.,...,1974,2746,3739
"2012Q1","Kerrostalo kolmiot+",5710,5911,...,7424,6241,...,5907,5065,.,4541,4986,.,...,4825,5013,4764,4202,...,...,...,3749,4890,...,3847,...,...,.,...,3096,2475,2424,...,2722,3937,...,3840,4403,.,3892,4488,3576,...,.,...,3770,2800,2575,2896,...,...,.,...,.,2589,2071,2634,...,...,...,.,1979,...,3505,3549,3572,2620,.,2514,.,...,.,.,2056,2773,2144,...,1975,...,2397,2101,2607,4050
