"13eb -- Vapaarahoitteisten vuokra-asuntojen keskineliövuokrat postinumeroalueittain, 2015Q1-2024Q2"

"Huoneluku","Vuosineljännes","Neliövuokra (eur/m2) 00100 Helsinki Keskusta - Etu-Töölö   (Helsinki )","Neliövuokra (eur/m2) 00120 Punavuori   (Helsinki )","Neliövuokra (eur/m2) 00130 Kaartinkaupunki   (Helsinki )","Neliövuokra (eur/m2) 00140 Kaivopuisto - Ullanlinna   (Helsinki )","Neliövuokra (eur/m2) 00150 Eira - Hernesaari   (Helsinki )","Neliövuokra (eur/m2) 00160 Katajanokka   (Helsinki )","Neliövuokra (eur/m2) 00170 Kruununhaka   (Helsinki )","Neliövuokra (eur/m2) 00180 Kamppi - Ruoholahti   (Helsinki )","Neliövuokra (eur/m2) 00200 Lauttasaari   (Helsinki )","Neliövuokra (eur/m2) 00210 Vattuniemi   (Helsinki )","Neliövuokra (eur/m2) 00220 Jätkäsaari   (Helsinki )","Neliövuokra (eur/m2) 00240 Länsi-Pasila   (Helsinki )","Neliövuokra (eur/m2) 00250 Taka-Töölö   (Helsinki )","Neliövuokra (eur/m2) 00260 Keski-Töölö   (Helsinki )","Neliövuokra (eur/m2) 00270 Pohjois-Meilahti   (Helsinki )","Neliövuokra (eur/m2) 00280 Ruskeasuo   (Helsinki )","Neliövuokra (eur/m2) 00300 Pikku Huopalahti   (Helsinki )","Neliövuokra (eur/m2) 00310 Kivihaka   (Helsinki )","Neliövuokra (eur/m2) 00320 Etelä-Haaga   (Helsinki )","Neliövuokra (eur/m2) 00330 Munkkiniemi   (Helsinki )","Neliövuokra (eur/m2) 00340 Kuusisaari-Lehtisaari   (Helsinki )","Neliövuokra (eur/m2) 00350 Munkkivuori-Niemenmäki   (Helsinki )","Neliövuokra (eur/m2) 00360 Pajamäki   (Helsinki )","Neliövuokra (eur/m2) 00370 Reimarla   (Helsinki )","Neliövuokra (eur/m2) 00380 Pitäjänmäen teollisuusalue   (Helsinki )","Neliövuokra (eur/m2) 00390 Konala   (Helsinki )","Neliövuokra (eur/m2) 00400 Pohjois-Haaga   (Helsinki )","Neliövuokra (eur/m2) 00410 Malminkartano   (Helsinki )","Neliövuokra (eur/m2) 00420 Kannelmäki   (Helsinki )","Neliövuokra (eur/m2) 00430 Maununneva   (Helsinki )","Neliövuokra (eur/m2) 00440 Lassila   (Helsinki )","Neliövuokra (eur/m2) 00500 Sörnäinen   (Helsinki )","Neliövuokra (eur/m2) 00510 Etu-Vallila - Alppila   (Helsinki )","Neliövuokra (eur/m2) 00520 Itä-Pasila   (Helsinki )","Neliövuokra (eur/m2) 00530 Kallio   (Helsinki )","Neliövuokra (eur/m2) 00550 Vallila   (Helsinki )","Neliövuokra (eur/m2) 00560 Toukola-Vanhakaupunki   (Helsinki )","Neliövuokra (eur/m2) 00570 Kulosaari   (Helsinki )","Neliövuokra (eur/m2) 00580 Verkkosaari   (Helsinki )","Neliövuokra (eur/m2) 00600 Koskela-Helsinki   (Helsinki )","Neliövuokra (eur/m2) 00610 Käpylä   (Helsinki )","Neliövuokra (eur/m2) 00620 Metsälä-Etelä-Oulunkylä   (Helsinki )","Neliövuokra (eur/m2) 00630 Maunula-Suursuo   (Helsinki )","Neliövuokra (eur/m2) 00640 Oulunkylä-Patola   (Helsinki )","Neliövuokra (eur/m2) 00650 Veräjämäki   (Helsinki )","Neliövuokra (eur/m2) 00700 Malmi   (Helsinki )","Neliövuokra (eur/m2) 00710 Pihlajamäki   (Helsinki )","Neliövuokra (eur/m2) 00720 Pukinmäki-Savela   (Helsinki )","Neliövuokra (eur/m2) 00730 Tapanila   (Helsinki )","Neliövuokra (eur/m2) 00740 Siltamäki   (Helsinki )","Neliövuokra (eur/m2) 00750 Puistola   (Helsinki )","Neliövuokra (eur/m2) 00760 Suurmetsä   (Helsinki )","Neliövuokra (eur/m2) 00770 Jakomäki - Alppikylä   (Helsinki )","Neliövuokra (eur/m2) 00780 Tapaninvainio   (Helsinki )","Neliövuokra (eur/m2) 00790 Viikki   (Helsinki )","Neliövuokra (eur/m2) 00800 Länsi-Herttoniemi   (Helsinki )","Neliövuokra (eur/m2) 00810 Herttoniemi   (Helsinki )","Neliövuokra (eur/m2) 00820 Roihuvuori   (Helsinki )","Neliövuokra (eur/m2) 00840 Laajasalo   (Helsinki )","Neliövuokra (eur/m2) 00870 Etelä-Laajasalo   (Helsinki )","Neliövuokra (eur/m2) 00900 Puotinharju   (Helsinki )","Neliövuokra (eur/m2) 00910 Puotila   (Helsinki )","Neliövuokra (eur/m2) 00920 Myllypuro   (Helsinki )","Neliövuokra (eur/m2) 00930 Itäkeskus-Marjaniemi   (Helsinki )","Neliövuokra (eur/m2) 00940 Kontula - Vesala   (Helsinki )","Neliövuokra (eur/m2) 00950 Vartioharju   (Helsinki )","Neliövuokra (eur/m2) 00960 Pohjois-Vuosaari   (Helsinki )","Neliövuokra (eur/m2) 00970 Mellunmäki   (Helsinki )","Neliövuokra (eur/m2) 00980 Etelä-Vuosaari   (Helsinki )","Neliövuokra (eur/m2) 00990 Aurinkolahti   (Helsinki )"
"Kolmiot+","2015Q1",13.09,.,.,.,22.40,.,.,14.39,14.24,.,.,.,13.40,.,.,.,.,.,11.34,15.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.89,.,.,14.93,.,.,.,.,.,.,.,13.53,.,15.55,.,.,.,.,.,.,.,.,15.10,.,.,.,.,.,14.14,.,.,.,.,13.23,15.90,.
"Kolmiot+","2015Q2",14.28,.,.,.,22.59,.,.,14.87,14.30,.,.,.,12.89,.,.,.,.,.,12.12,15.43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.04,.,18.44,.,.,.,.,.,.,.,.,13.76,.,14.98,.,.,.,.,.,.,.,.,15.11,.,.,.,.,.,14.19,.,14.47,.,.,13.31,15.75,17.78
"Kolmiot+","2015Q3",13.42,.,.,.,21.75,.,.,15.27,13.27,.,.,.,14.46,.,10.93,.,.,.,12.07,14.90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.44,.,.,.,.,.,14.86,.,14.28,.,15.82,.,13.63,.,.,.,.,.,.,16.71,.,.,.,.,.,13.92,.,14.43,.,.,13.35,15.43,17.47
"Kolmiot+","2015Q4",15.78,.,.,.,22.04,.,.,15.05,13.61,.,.,.,14.90,.,10.77,.,.,.,12.16,14.21,.,.,.,.,.,.,.,.,14.58,.,.,16.47,.,.,15.13,.,.,14.45,.,.,.,.,.,.,.,14.13,14.40,15.51,.,13.63,.,.,.,.,.,.,16.68,.,.,.,.,.,14.07,.,14.51,.,.,13.41,15.41,17.54
"Kolmiot+","2016Q1",17.05,.,.,.,24.49,.,15.15,15.24,14.95,.,.,.,16.09,.,.,.,.,.,12.51,16.27,.,.,16.82,.,.,.,.,.,.,.,.,17.16,14.17,.,15.61,.,.,13.58,.,.,.,.,.,.,.,16.01,14.94,15.73,13.76,14.15,.,.,.,.,.,.,17.27,.,14.26,.,16.10,.,14.56,.,16.41,.,13.18,13.15,16.01,17.88
"Kolmiot+","2016Q2",17.26,.,.,.,24.94,.,15.52,15.66,15.76,.,.,.,16.13,.,11.30,.,.,.,13.25,16.10,.,.,.,.,.,.,.,.,.,.,.,17.28,14.70,.,16.09,.,19.35,14.10,.,.,.,.,.,.,.,15.32,.,15.97,13.76,14.25,.,.,.,.,.,.,17.48,.,13.81,.,16.05,.,14.97,.,15.07,.,13.15,13.59,15.94,18.03
"Kolmiot+","2016Q3",17.64,.,.,.,24.38,.,15.23,15.14,16.25,.,.,.,16.15,.,11.40,.,.,.,14.01,18.19,.,.,.,.,.,.,.,.,.,.,.,16.99,14.96,.,16.20,.,19.64,14.17,.,.,.,.,.,15.27,.,15.60,.,16.29,14.59,14.19,.,.,.,.,.,.,17.57,.,14.56,.,16.38,.,14.78,.,15.03,.,13.09,13.51,15.79,18.33
"Kolmiot+","2016Q4",17.00,.,.,.,24.90,.,16.08,14.87,15.50,18.69,.,.,15.47,.,12.12,.,.,.,13.84,17.55,.,.,.,.,.,.,.,.,.,.,.,17.43,15.36,.,15.92,.,19.83,14.05,.,.,.,.,.,15.19,.,.,14.99,15.52,14.09,14.04,.,.,.,.,15.00,.,17.29,.,14.84,.,16.28,.,15.74,.,15.09,.,13.35,13.39,15.72,18.20
"Kolmiot+","2017Q1",19.77,.,.,.,23.70,.,16.12,14.94,15.67,19.77,.,.,16.03,.,12.37,.,.,.,13.38,17.24,.,.,.,.,.,.,.,.,.,.,.,17.60,15.33,.,16.12,.,20.18,14.51,.,.,.,.,15.96,.,.,.,15.53,15.89,.,14.43,.,.,.,.,.,.,17.35,.,14.85,.,15.98,.,15.95,.,15.42,.,.,13.76,15.98,18.26
"Kolmiot+","2017Q2",20.15,.,.,.,23.20,.,16.59,15.32,15.94,20.16,.,.,16.56,.,13.52,.,.,.,13.75,18.03,.,.,.,.,.,.,.,.,.,.,.,.,15.61,.,16.03,.,19.54,14.54,.,.,.,.,15.88,.,.,.,.,16.05,14.26,15.00,.,.,.,.,.,.,16.73,.,15.19,.,16.18,.,16.03,.,15.53,.,13.66,14.20,16.14,.
"Kolmiot+","2017Q3",21.44,.,.,.,25.43,.,.,16.10,17.56,20.86,.,.,17.69,.,.,.,.,.,16.43,18.73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.76,15.98,.,.,.,.,16.24,.,.,.,15.41,16.62,.,.,.,.,.,.,.,.,17.09,.,15.44,.,16.60,.,16.17,.,15.55,.,13.58,14.22,16.39,18.12
"Kolmiot+","2017Q4",21.27,.,.,.,25.20,.,.,15.77,17.76,21.30,.,.,18.22,.,.,.,.,.,16.28,19.04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20.26,.,.,.,.,.,16.52,.,.,.,15.36,16.40,.,.,.,.,.,.,.,.,17.33,.,15.11,.,16.62,.,16.14,.,15.55,.,13.58,14.42,16.88,18.67
