"12ez -- 2. Asukkaiden koulutusaste, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Ylemmän korkeakoulututkinnon suorittaneet (KO)","2010",4622,1788,425,2120,2216,1136,2100,2267,138,3627,1558,0,0,596,2591,1356,1558,568,34,851,140,1878,2206,500,1632,313,795,455,501,1159,623,1071,747,575,1674,1137,800,3160,0,1145,1847,933,194,90,383,1215,552,836,1129,671,1418,1300,650,358,785,846,708,1295,671,736,820,162,829,1255,932,1331,698,564,1362,657,82,432,2,307,277,525,793,757,1180,722,439,516,1736,943
"Ylemmän korkeakoulututkinnon suorittaneet (KO)","2011",4746,1826,435,2167,2273,1150,2132,2309,144,3666,1648,0,0,630,2667,1433,1592,585,36,913,146,1928,2226,499,1643,301,830,524,580,1235,649,1121,757,580,1738,1185,842,3264,0,1179,1942,936,303,92,399,1248,545,886,1167,694,1453,1315,676,365,812,886,732,1317,690,778,823,169,830,1372,943,1414,717,587,1372,672,87,460,2,324,291,538,830,771,1222,747,470,541,1775,957
"Ylemmän korkeakoulututkinnon suorittaneet (KO)","2012",4929,1853,447,2225,2476,1158,2156,2390,146,3710,1847,14,0,738,2710,1458,1639,594,37,913,140,1948,2240,505,1637,311,858,551,615,1305,673,1144,762,606,1872,1232,942,3377,71,1221,2256,980,355,89,413,1320,561,921,1217,710,1502,1345,676,403,871,926,731,1357,711,809,848,173,864,1464,963,1476,756,579,1415,670,88,485,2,325,304,540,937,770,1224,772,503,564,1751,1077
"Ylemmän korkeakoulututkinnon suorittaneet (KO)","2013",5148,1935,461,2334,2492,1157,2242,2646,156,3852,1955,164,0,830,2784,1494,1650,612,40,966,142,2019,2307,510,1699,320,869,610,655,1355,686,1212,792,634,1996,1370,1028,3531,201,1307,2373,992,442,97,424,1386,577,981,1274,722,1540,1349,686,417,927,1004,766,1394,746,838,883,193,888,1549,1048,1545,788,577,1444,665,94,509,59,331,336,577,980,793,1263,803,519,589,1801,1129
"Ylemmän korkeakoulututkinnon suorittaneet (KO)","2014",5244,2005,477,2409,2523,1187,2265,2798,165,3961,2053,421,0,849,2856,1495,1700,624,43,965,132,2069,2365,533,1753,324,900,633,684,1401,679,1255,812,643,2101,1407,1056,3689,278,1434,2550,1014,489,97,447,1459,596,1056,1339,726,1581,1353,696,433,926,1043,780,1466,773,875,923,222,913,1586,1118,1602,829,592,1460,667,82,511,78,332,347,612,1075,804,1272,831,526,611,1855,1173
"Ylemmän korkeakoulututkinnon suorittaneet (KO)","2015",5381,2030,469,2413,2592,1204,2314,2903,167,3989,2196,472,0,835,2933,1514,1777,668,41,979,140,2182,2524,528,1818,339,901,611,698,1445,719,1310,838,661,2139,1577,1136,3764,428,1478,2748,1021,498,97,455,1519,637,1125,1379,769,1622,1405,690,431,959,1085,821,1486,789,876,951,258,921,1660,1168,1667,853,601,1486,672,89,521,87,329,355,616,1138,804,1314,828,560,605,1896,1189
"Ylemmän korkeakoulututkinnon suorittaneet (KO)","2016",5481,2074,489,2446,2678,1235,2340,3106,153,4161,2332,677,0,876,3040,1565,1812,672,46,973,143,2303,2499,536,1849,362,909,629,721,1506,734,1331,845,699,2255,1788,1249,3814,498,1550,2840,1044,507,181,469,1598,661,1168,1436,788,1636,1461,702,439,993,1134,823,1538,805,910,970,288,948,1701,1197,1715,882,619,1512,688,86,637,96,326,375,621,1238,815,1347,857,565,647,1916,1236
"Ylemmän korkeakoulututkinnon suorittaneet (KO)","2017",5704,2143,500,2433,2731,1271,2424,3213,151,4511,2498,1093,0,967,3085,1610,1857,719,46,1004,152,2385,2584,556,1884,364,925,677,757,1559,752,1396,909,731,2379,1960,1322,4014,538,1642,2931,1101,533,239,501,1646,688,1224,1511,799,1659,1493,714,443,1029,1174,871,1575,860,899,985,335,976,1760,1287,1798,954,638,1517,694,77,688,105,332,399,641,1268,848,1365,891,586,633,2039,1277
"Ylemmän korkeakoulututkinnon suorittaneet (KO)","2018",5988,2205,519,2480,2793,1327,2514,3451,142,4707,2651,1352,0,1058,3200,1662,1933,759,46,1032,181,2540,2648,586,1995,377,982,685,820,1670,903,1496,999,766,2544,2123,1401,4307,700,1694,3080,1155,553,415,555,1700,727,1318,1600,813,1701,1526,721,457,1087,1252,929,1619,921,943,1044,384,1012,1894,1405,1899,1065,660,1586,728,80,701,121,343,432,675,1391,905,1465,930,617,679,2219,1374
"Ylemmän korkeakoulututkinnon suorittaneet (KO)","2019",6036,2250,530,2548,2855,1412,2531,3459,150,4879,2694,1584,0,1115,3306,1707,2002,757,46,1068,203,2704,2817,575,2038,371,1024,714,824,1743,961,1549,1180,760,2617,2177,1488,4333,980,1755,3145,1191,730,499,568,1740,741,1364,1637,846,1734,1575,763,486,1149,1300,973,1674,958,982,1075,402,1052,1912,1440,2029,1140,699,1648,740,78,753,123,343,441,716,1503,937,1493,955,648,689,2294,1387
