"12f2 -- 4. Talouksien koko ja elämänvaihe, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Lapsitaloudet (TE)","2010",1085,471,134,616,543,436,576,1093,108,1296,605,0,0,394,662,312,647,208,6,682,56,588,798,216,842,144,621,450,504,684,1011,1282,646,343,389,343,406,615,0,496,1065,403,153,56,345,848,312,684,766,543,782,895,490,392,1402,1159,831,1595,1316,1145,1113,722,803,1301,698,1295,780,278,867,481,80,550,0,380,288,580,1039,729,3004,714,831,1013,2948,701
"Lapsitaloudet (TE)","2011",1136,475,131,632,560,433,592,1027,113,1302,628,0,0,407,681,330,650,225,9,651,62,614,798,219,842,143,629,448,573,708,988,1262,631,348,404,345,417,693,0,509,1175,390,209,52,346,838,304,738,782,573,782,888,493,390,1360,1185,825,1537,1289,1161,1071,708,807,1341,674,1323,762,280,854,471,78,591,2,380,303,566,1041,730,2963,710,828,1085,2883,700
"Lapsitaloudet (TE)","2012",1141,501,120,652,641,428,609,1038,108,1334,694,1,0,406,688,326,656,225,8,635,67,621,795,216,839,134,659,444,611,717,940,1273,623,346,403,354,427,666,46,519,1390,412,224,55,350,854,304,726,789,582,791,878,497,414,1366,1232,812,1486,1265,1142,1068,666,791,1393,695,1302,767,285,854,469,85,591,0,363,360,566,1172,717,2952,696,796,1050,2846,767
"Lapsitaloudet (TE)","2013",1160,518,114,641,652,419,616,1063,112,1365,732,122,0,429,706,331,646,217,8,652,70,675,820,203,867,140,655,461,646,729,933,1261,624,346,419,389,498,682,100,523,1427,413,251,56,354,872,308,725,788,552,789,880,483,410,1390,1279,807,1449,1267,1139,1048,738,782,1445,677,1302,746,292,834,473,78,572,43,343,359,568,1209,716,2893,685,737,1102,2818,825
"Lapsitaloudet (TE)","2014",1206,538,117,652,672,432,639,1100,111,1399,769,273,0,421,716,316,658,226,9,638,66,694,827,199,894,137,678,470,668,762,912,1296,653,352,431,396,491,730,141,519,1464,433,278,53,356,919,308,777,785,546,815,850,492,412,1379,1294,822,1444,1259,1104,1043,738,770,1486,689,1296,736,283,842,458,76,592,60,331,379,576,1315,705,2874,679,737,1120,2808,863
"Lapsitaloudet (TE)","2015",1272,576,126,648,687,439,669,1128,117,1427,798,298,0,427,742,332,672,247,13,645,70,715,831,190,917,156,705,452,674,770,955,1300,651,359,464,418,521,779,192,553,1524,420,284,47,348,926,310,816,821,549,849,863,483,421,1370,1279,845,1417,1268,1131,1019,760,743,1502,707,1334,740,279,884,453,73,588,62,319,375,576,1365,715,2888,674,770,1093,2775,904
"Lapsitaloudet (TE)","2016",1306,594,129,666,704,421,657,1205,111,1451,872,348,0,425,792,342,683,252,12,636,70,755,834,186,921,155,718,454,662,799,957,1290,684,356,459,469,568,775,215,589,1583,433,294,121,364,935,325,814,833,537,830,886,491,418,1403,1310,842,1414,1249,1160,994,783,758,1487,707,1291,729,280,864,447,63,664,62,302,388,575,1440,725,2869,696,796,1096,2737,946
"Lapsitaloudet (TE)","2017",1326,581,128,693,708,432,657,1231,104,1533,919,529,0,433,811,351,698,250,10,625,69,780,868,185,907,153,727,441,670,790,973,1274,709,381,460,495,566,829,239,604,1608,454,285,144,357,935,318,848,847,560,840,859,497,408,1379,1292,880,1408,1268,1149,987,875,765,1512,721,1320,733,289,846,452,61,727,56,277,384,585,1520,724,2905,720,755,1080,2707,952
"Lapsitaloudet (TE)","2018",1339,593,130,702,704,422,661,1280,101,1609,916,676,0,447,849,351,698,241,11,619,71,775,860,194,911,153,706,438,668,787,1013,1220,756,411,422,527,569,830,301,587,1576,455,287,269,366,954,329,834,862,555,829,840,490,414,1359,1301,915,1425,1292,1156,988,883,753,1511,738,1293,755,281,853,454,59,736,62,260,368,545,1609,709,2879,735,729,1085,2673,967
"Lapsitaloudet (TE)","2019",1362,601,140,713,721,458,635,1301,114,1607,931,764,0,435,858,367,715,249,10,612,65,799,890,199,905,159,674,437,680,793,1050,1225,871,401,394,561,566,838,451,602,1558,459,316,283,362,937,330,843,928,551,831,834,495,423,1347,1326,912,1444,1324,1133,976,859,743,1469,730,1341,784,289,872,451,55,758,53,234,359,540,1633,698,2827,755,745,1077,2643,947
