"12f1 -- 3. Asukkaiden käytettävissä olevat rahatulot, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Asukkaiden mediaanitulot (HR)","2010",23296,24084,25176,25210,22850,24671,24669,22646,23115,24131,26286,0,0,20477,22426,23618,21706,21120,25759,22603,22159,21311,24705,30127,22190,21439,21312,22014,21724,19069,19023,18796,24977,19356,18567,18719,18749,19452,0,17959,21223,25647,23609,28577,16568,21225,21796,18197,21571,22992,26826,28460,26071,24969,19810,18817,19645,23211,21048,20622,24455,17278,23308,21163,19235,22181,18389,29616,23491,27683,25570,19292,11117,29485,18411,19014,19079,19409,17738,24410,20917,19446,19808,24106
"Asukkaiden mediaanitulot (HR)","2011",24089,24941,24541,25934,23514,25220,25461,23102,22904,24841,27046,0,0,20763,22911,24407,22123,21196,26237,22746,22133,21706,25110,30655,22596,21428,21823,22264,22356,19483,19096,19196,25597,19765,19132,19370,19706,20149,0,18455,21674,26264,24211,29476,16631,21599,22840,18651,22111,23246,27623,29110,27045,25175,20029,19176,20039,23622,21404,21136,24595,17401,23687,21334,19548,22722,18835,29845,23620,27830,25813,19442,15891,30378,18691,19292,19456,19722,18127,24862,21329,19923,20026,24443
"Asukkaiden mediaanitulot (HR)","2012",24784,25865,27078,26741,24459,25848,26308,23349,23820,25190,28456,24427,0,21609,23831,24709,23144,22272,25725,23113,23052,22433,25736,31099,22970,22036,22480,23159,22951,20123,19703,19849,26538,20767,19898,20093,20384,20858,16912,19360,22792,26356,25114,29337,17300,22517,23670,19317,22780,24126,28313,30303,27752,25900,20781,20188,20859,24321,22054,21952,25438,18277,24321,21862,20019,23253,19390,30432,24381,28970,26495,20107,19304,30284,18928,19973,20499,20450,18824,25366,21678,20311,20550,24785
"Asukkaiden mediaanitulot (HR)","2013",25148,25830,28596,27400,24433,26154,26729,23518,24296,25573,28625,23842,0,22108,24172,24722,23196,21997,27316,23331,23278,22731,26120,31542,22778,22212,22645,23343,23227,20433,19630,19969,26878,20799,20188,20261,20749,20984,21234,19317,22985,26696,23911,32173,17742,22817,23854,19777,22762,24257,28773,30139,28357,25805,20998,20445,20907,24649,22237,22161,25897,18134,24423,22052,20422,23345,19628,29830,24510,29210,27492,20461,23146,29995,19121,20333,20786,20632,19008,26096,21734,20771,20788,24884
"Asukkaiden mediaanitulot (HR)","2014",25607,26219,28113,27597,24866,26665,27199,23902,24664,25945,29075,25466,0,22224,24332,25427,23397,22256,27085,23612,23344,23136,26686,32384,22893,22103,22716,23191,23439,20504,19597,20110,26526,21070,20567,20798,20956,21300,22533,19755,23497,27050,23383,32443,17919,23178,24099,20149,22990,24013,28917,30416,28180,26103,20940,20417,21066,24731,22351,22092,25962,18936,24733,22019,20911,23324,19809,30695,24565,28769,27735,20655,23750,29322,19241,20719,21174,20612,19088,26443,21956,20757,20761,24897
"Asukkaiden mediaanitulot (HR)","2015",25986,26284,28357,27696,25499,27188,27358,24243,24864,26153,29616,26238,0,22501,24745,25499,23742,22407,26642,23736,23346,23266,27081,32520,23383,22438,22751,23384,23388,20909,20015,20214,26796,21435,20823,21080,21249,21531,24339,20318,23797,27184,22858,31935,18259,23464,24457,20517,23295,24191,29367,31147,28198,26453,20989,20921,21441,24966,22481,22222,26237,19391,24918,22361,21171,23560,20133,30632,24910,29488,28097,20773,21693,29569,19452,20710,21352,20405,19243,26012,22041,20861,20824,24875
"Asukkaiden mediaanitulot (HR)","2016",26642,27107,28641,28114,25883,27264,27846,24898,25931,26671,30126,24899,0,22600,25197,25818,24057,22344,27946,24120,23744,23841,27409,32171,23811,22986,22813,23516,23522,21185,20336,20232,26959,21449,21226,22230,21611,22058,25322,20543,24297,27294,23107,26485,18418,23893,25230,21064,23507,24732,29506,31431,29168,26980,21092,21268,21474,25246,22604,22489,26486,19672,24916,22814,21527,23694,20510,31945,25056,29686,28594,21635,22065,29265,19886,20959,21809,21077,19324,26201,22190,20952,20968,24892
"Asukkaiden mediaanitulot (HR)","2017",27577,27518,30479,29439,26543,28092,28489,25492,25728,27378,30676,24816,0,23045,25958,27025,24382,23435,29092,24187,24419,24399,27897,33281,24176,23575,23333,24047,24080,21470,20953,20685,26859,22065,22007,22916,22344,22939,26242,21397,24802,28001,23940,26907,18699,24240,24966,21562,24080,24998,30046,32090,29228,27220,21449,21371,21748,25673,23066,22699,27103,20194,25571,23199,22253,24300,21169,32579,25357,30567,28334,22118,23234,28908,20273,21403,22284,21315,19611,26567,22356,21374,21141,25166
"Asukkaiden mediaanitulot (HR)","2018",28694,28726,32121,30411,27697,28971,29627,26340,26520,28581,32309,26031,0,24146,26636,28096,25312,24342,29589,24733,24805,25297,29135,33601,25182,24005,23930,24334,24292,22152,21778,21392,27537,22781,22677,24021,23191,23784,28022,22492,25315,29353,24657,26897,19268,25228,26581,22464,25157,25607,31174,33186,30405,27689,21845,21822,22516,26319,24002,23263,27477,20682,26272,23454,23356,25074,21920,33620,26154,31560,29560,22824,24664,30130,20661,22012,22723,21987,19965,27402,22954,22009,21741,25952
"Asukkaiden mediaanitulot (HR)","2019",29706,29816,32894,31718,28478,30168,30720,27075,27688,29703,32861,27295,0,25322,27726,28959,26245,25174,32443,25499,24998,26496,30028,34641,25879,24384,24608,25110,25278,22870,22201,22009,27819,24153,23436,25000,24333,24551,28509,23405,26029,30621,25874,27448,19915,26276,27418,23008,25897,26640,32594,34225,31182,28873,22432,22390,23092,27123,24821,24079,28334,21417,27190,24051,24079,25547,22575,34320,27094,32070,30288,23989,25867,31447,21429,22824,23556,22303,20329,28084,23705,22305,22153,26680
"Asukkaiden mediaanitulot (HR)","2020",29258,29684,31558,31333,27997,30270,30591,26765,27702,29864,32785,26993,0,25552,27627,28647,26461,25446,31031,25549,25047,26541,30423,34465,26348,24695,25133,25697,25474,22750,22588,22088,27763,23842,23319,24667,25200,24099,28866,23601,26175,31067,26526,27462,20769,26208,27833,23296,25925,26685,33051,34005,31578,29125,22676,22594,23187,27223,24839,24012,28219,21619,27259,24397,24027,25593,23046,34743,26910,32089,31091,24111,25318,31526,21690,22801,23865,22485,20429,28086,23545,22425,22252,26396
"Asukkaiden mediaanitulot (HR)","2021",30659,30668,34786,32537,29324,30520,31048,27306,29801,31067,34267,27679,0,26678,28321,29899,27120,25886,32243,25981,26720,27524,31591,36661,27138,25501,25767,26072,25568,23490,23263,22378,28797,24470,24247,25688,26729,24884,30132,23854,26788,32821,28782,27812,21890,26924,28156,24150,26878,28204,34117,35431,32943,30402,23206,23071,23874,28064,25524,24463,29095,22003,28412,24952,24814,26304,23903,35613,27870,34403,32024,25106,26168,32383,21672,23238,24566,23021,20825,28885,23882,22841,22630,27030
