"12ey -- 1. Asukasrakenne, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Naiset (HE)","2010",8790,3459,762,4059,4636,2425,3844,6460,378,7890,3245,0,0,2608,6021,2929,4233,1641,90,3188,470,5203,4812,862,5023,997,3209,1961,2496,4966,4478,7214,2440,2598,5945,4288,3233,9604,0,4627,5429,2032,726,182,2243,4506,1770,4284,4070,2208,3288,3069,1827,1332,6797,6203,4577,5931,5271,4755,3965,3194,3574,4837,3824,5635,3956,1177,4426,1577,214,2428,21,1053,1856,3413,5264,3630,13508,2804,3651,5403,12108,3350
"Naiset (HE)","2011",8982,3455,760,4116,4660,2423,3833,6247,389,7944,3390,0,0,2617,6042,2936,4248,1654,94,3202,490,5260,4808,871,4956,1007,3258,2052,2851,5087,4466,7307,2424,2557,6080,4351,3233,9699,0,4709,5820,2047,927,182,2271,4518,1715,4300,4104,2263,3246,3057,1823,1326,6891,6236,4569,5915,5208,4788,3953,3184,3639,5178,3768,5774,3964,1174,4419,1591,227,2587,20,1053,1940,3350,5322,3592,13509,2798,3676,5555,12139,3423
"Naiset (HE)","2012",9101,3519,752,4189,4911,2443,3836,6606,377,8013,3674,64,0,2685,6033,2990,4297,1614,93,3142,493,5195,4805,847,4949,1020,3309,2103,2982,5104,4457,7276,2408,2546,6221,4332,3315,9714,330,4662,6598,2073,1026,181,2225,4512,1679,4182,4145,2265,3296,3053,1825,1389,6971,6248,4492,5921,5183,4760,3945,3103,3631,5434,3832,5903,3969,1170,4433,1577,223,2601,17,1055,2086,3346,5788,3517,13515,2821,3660,5526,12161,3816
"Naiset (HE)","2013",9144,3565,734,4144,4932,2404,3891,6887,388,8113,3844,549,0,2841,5999,2948,4284,1610,92,3114,491,5312,4828,838,5046,1008,3268,2202,3108,5080,4437,7339,2424,2505,6251,4472,3457,9772,671,4729,6762,2077,1269,189,2214,4468,1686,4211,4231,2234,3301,3067,1806,1395,7048,6445,4562,5898,5222,4803,3955,3367,3638,5570,3834,5920,3992,1212,4418,1595,212,2569,225,1041,2148,3347,5804,3597,13459,2795,3635,5692,12064,3961
"Naiset (HE)","2014",9234,3608,753,4194,4959,2393,3863,7038,387,8144,3984,1139,0,2812,6033,2912,4310,1676,90,3170,483,5339,4851,853,5121,991,3369,2256,3138,5144,4487,7410,2467,2546,6233,4495,3462,9752,830,4780,6930,2069,1433,188,2205,4604,1713,4325,4306,2241,3325,3055,1849,1413,7053,6566,4561,5939,5286,4732,3960,3297,3645,5664,3857,5971,3962,1185,4456,1582,206,2569,330,1035,2156,3355,6190,3606,13489,2796,3671,5691,12064,4169
"Naiset (HE)","2015",9404,3680,804,4202,5010,2395,3981,7197,403,8142,4146,1216,0,2805,6097,2959,4323,1705,98,3232,490,5442,5016,841,5102,1003,3421,2234,3163,5145,4548,7437,2493,2503,6308,4626,3576,9774,1117,4792,7298,2048,1530,191,2203,4599,1731,4421,4339,2266,3376,3073,1815,1431,7004,6488,4643,5878,5274,4787,3943,3454,3626,5771,3872,6082,3894,1179,4525,1576,203,2583,386,1037,2171,3354,6315,3615,13550,2864,3826,5613,12185,4299
"Naiset (HE)","2016",9507,3705,783,4276,5119,2356,4007,7432,379,8241,4330,1594,0,2798,6216,2938,4360,1669,100,3181,481,5624,4846,866,5098,989,3421,2294,3171,5189,4604,7479,2568,2496,6341,4792,3655,9673,1247,4924,7414,2080,1556,553,2222,4561,1704,4399,4386,2234,3367,3091,1847,1417,7050,6571,4597,5889,5271,4964,3949,3490,3674,5814,3793,6100,3841,1165,4457,1582,187,2981,386,1031,2221,3289,6539,3551,13582,2968,3826,5648,12134,4415
"Naiset (HE)","2017",9613,3751,772,4277,5129,2411,4024,7572,372,8511,4523,2742,0,2864,6206,2989,4326,1639,87,3226,491,5655,5016,875,5098,972,3372,2318,3217,5167,4635,7407,2803,2522,6316,4978,3683,9733,1314,4827,7444,2132,1538,646,2222,4600,1807,4478,4368,2278,3369,3073,1828,1410,6981,6599,4625,5838,5306,4993,3910,3787,3646,5858,3874,6122,3842,1159,4448,1576,180,3179,379,1014,2212,3281,6725,3621,13644,3056,3732,5631,12352,4493
"Naiset (HE)","2018",9754,3793,788,4335,5061,2442,4013,7630,360,8557,4560,3279,0,3021,6278,2980,4386,1659,92,3224,521,5628,4978,888,5077,989,3366,2318,3297,5122,4859,7209,3002,2605,6239,5073,3622,9855,1522,4806,7580,2158,1528,1245,2215,4563,1760,4414,4354,2242,3357,3051,1822,1411,6999,6589,4743,5878,5381,4987,3887,3860,3584,5934,3911,6163,3888,1169,4460,1583,175,3220,386,970,2226,3135,7128,3574,13474,3082,3716,5631,12419,4605
"Naiset (HE)","2019",9673,3761,819,4333,5097,2561,4022,7723,384,8553,4609,3649,0,2959,6354,3062,4433,1662,85,3189,519,5700,5106,889,5024,985,3413,2308,3288,5105,4947,7153,3588,2459,6154,5107,3707,9845,2132,4785,7564,2142,1791,1402,2116,4524,1754,4428,4584,2229,3346,3043,1825,1443,6949,6620,4801,5911,5420,4938,3862,3844,3589,5808,3901,6612,4020,1191,4454,1584,170,3326,363,927,2181,3127,7179,3572,13340,3217,3762,5661,12439,4571
