"12f2 -- 4. Talouksien koko ja elämänvaihe, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Nuorten yksinasuvien taloudet (TE)","2010",2050,745,133,845,1491,153,701,1313,15,1592,359,0,0,186,1727,553,939,302,11,247,125,1607,589,41,935,205,328,157,372,811,378,908,64,254,3084,1909,584,3225,0,1327,1062,240,31,2,179,453,134,506,459,164,93,17,36,23,832,684,413,390,191,405,73,266,197,685,528,721,573,26,351,28,34,158,9,6,222,476,348,266,983,78,342,470,762,377
"Nuorten yksinasuvien taloudet (TE)","2011",2020,731,129,832,1475,159,705,1262,12,1558,365,0,0,208,1740,558,978,272,11,236,114,1680,601,37,923,200,316,187,408,789,382,885,68,243,3048,1889,605,3197,0,1304,1077,228,53,1,157,464,140,525,479,145,79,19,30,24,897,656,415,383,196,407,85,258,189,709,530,690,587,22,347,26,32,175,11,3,249,491,354,238,902,87,334,449,780,372
"Nuorten yksinasuvien taloudet (TE)","2012",2007,728,141,787,1487,159,675,1448,11,1491,380,0,0,208,1707,541,999,253,11,241,112,1644,603,34,945,226,313,207,467,816,394,895,69,261,3058,1904,607,3223,101,1293,1158,225,96,0,170,445,168,506,503,129,81,16,22,22,887,634,441,374,219,415,72,261,199,727,553,720,575,16,346,21,26,195,11,8,295,500,390,228,922,98,339,427,763,408
"Nuorten yksinasuvien taloudet (TE)","2013",2011,723,126,799,1473,169,677,1410,10,1467,354,113,0,217,1652,533,954,258,11,257,112,1625,589,36,971,205,319,219,485,825,352,900,66,276,3039,1882,610,3171,125,1272,1119,210,221,1,178,459,154,497,526,137,81,17,29,22,853,674,405,368,225,394,84,341,186,700,566,666,552,17,339,18,22,189,49,7,288,519,392,249,944,99,332,419,786,384
"Nuorten yksinasuvien taloudet (TE)","2014",2039,700,124,748,1429,161,649,1431,9,1480,369,192,0,234,1623,541,983,270,16,252,109,1665,566,36,953,197,354,212,477,870,344,917,72,283,3044,1883,604,3113,141,1242,1086,216,320,2,171,445,150,494,530,128,71,15,39,23,903,697,426,367,214,368,78,290,192,688,600,627,541,22,326,20,21,184,43,3,293,530,467,245,907,75,311,431,761,352
"Nuorten yksinasuvien taloudet (TE)","2015",2031,676,139,762,1363,149,685,1426,8,1446,386,201,0,226,1625,536,949,268,20,227,107,1699,530,28,921,206,347,184,469,834,355,896,61,311,3025,1857,631,3068,165,1215,1095,233,365,2,168,410,146,562,509,121,80,22,34,21,875,689,411,344,199,356,80,335,182,704,582,601,523,29,319,26,21,204,56,4,278,503,470,236,897,103,308,448,820,345
"Nuorten yksinasuvien taloudet (TE)","2016",2006,675,132,758,1337,146,648,1457,8,1459,416,353,0,216,1658,548,943,274,19,213,98,1775,525,34,931,222,349,199,459,900,343,930,69,302,3019,1848,636,3003,175,1227,1089,247,344,49,173,430,153,561,502,119,76,22,33,14,907,714,415,355,192,390,74,323,176,713,533,631,524,34,332,22,22,352,43,6,293,497,426,250,975,106,333,443,846,368
"Nuorten yksinasuvien taloudet (TE)","2017",2101,708,142,764,1384,161,675,1479,7,1531,442,674,0,234,1723,568,973,285,17,229,112,1817,621,33,978,200,376,194,469,910,429,906,116,353,3076,1954,605,3119,166,1244,1089,241,355,60,198,454,171,582,534,135,84,17,40,21,940,772,438,365,236,405,88,432,183,737,594,699,553,30,450,26,21,374,59,5,275,540,472,263,999,137,342,506,945,387
"Nuorten yksinasuvien taloudet (TE)","2018",2126,748,123,761,1429,163,677,1473,14,1550,426,803,0,325,1761,546,1001,294,22,217,123,1833,627,32,974,214,374,178,491,899,526,945,164,376,3087,2007,643,3132,195,1277,1301,245,363,166,194,461,174,573,525,138,69,18,45,28,993,784,452,397,267,413,97,501,194,780,624,681,584,26,420,19,25,396,56,6,287,521,519,260,1060,141,362,525,1008,417
"Nuorten yksinasuvien taloudet (TE)","2019",2071,760,138,747,1414,231,671,1486,17,1634,436,860,0,371,1795,559,998,293,24,229,125,1853,646,36,993,227,413,212,495,940,570,1040,289,385,3075,2018,669,3259,368,1283,1274,239,510,182,198,485,171,601,611,136,72,18,45,22,1000,842,480,398,265,429,98,499,201,784,657,831,589,25,417,27,22,425,52,12,291,508,505,252,1066,191,386,573,1002,425
