"12f2 -- 4. Talouksien koko ja elämänvaihe, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Omistusasunnoissa asuvat taloudet (TE)","2010",4424,1895,391,2167,2769,1194,2010,2785,11,4853,2235,0,0,1032,3073,1464,1887,824,37,1004,321,2992,2416,522,2458,705,1345,413,1572,2406,1485,3228,1339,1395,3475,2576,1692,5469,0,2107,2280,1151,175,122,607,1916,972,1602,2355,810,2188,1952,1136,706,2586,2842,2256,2893,2776,2023,2276,863,2291,1105,1448,1540,1763,775,3075,759,1,837,0,592,1092,1612,2532,1408,4698,1721,1974,2811,3900,2032
"Omistusasunnoissa asuvat taloudet (TE)","2011",4471,1897,379,2172,2776,1197,2032,2757,12,4847,2242,0,0,1066,3102,1472,1913,826,38,991,324,3021,2397,522,2465,697,1347,508,1645,2403,1490,3250,1358,1375,3469,2580,1761,5488,0,2116,2362,1174,295,118,610,1910,960,1629,2354,817,2196,1961,1146,707,2701,2857,2245,2928,2790,2053,2272,857,2283,1192,1439,1635,1741,773,3072,760,1,826,0,598,1085,1626,2547,1399,4672,1718,1967,2819,3927,2060
"Omistusasunnoissa asuvat taloudet (TE)","2012",4519,1934,396,2164,2843,1181,2023,2762,11,4771,2435,0,0,1153,3083,1510,1909,806,37,996,322,2964,2384,526,2424,693,1349,557,1674,2348,1487,3270,1368,1377,3450,2551,1804,5431,0,2099,2627,1165,322,114,606,1906,953,1597,2383,826,2215,1965,1153,743,2692,2837,2223,2922,2791,2064,2283,857,2286,1300,1445,1710,1741,774,3078,766,1,829,0,593,1054,1639,2579,1389,4654,1724,2008,2799,3957,2143
"Omistusasunnoissa asuvat taloudet (TE)","2013",4579,1944,414,2159,2833,1178,2028,2867,13,4725,2547,78,0,1201,3110,1481,1870,800,37,997,321,2907,2382,521,2458,678,1330,582,1711,2322,1473,3226,1373,1357,3384,2534,1842,5423,121,2063,2736,1160,351,118,605,1879,944,1651,2378,823,2223,1982,1156,756,2701,2813,2188,2923,2838,2066,2279,851,2286,1362,1439,1730,1753,778,3050,769,1,825,2,593,1044,1652,2598,1418,4605,1729,1974,2800,4024,2212
"Omistusasunnoissa asuvat taloudet (TE)","2014",4615,1942,416,2185,2800,1173,2053,2886,12,4684,2633,239,0,1168,3077,1477,1841,804,37,988,309,2836,2363,545,2433,654,1325,594,1693,2282,1436,3200,1380,1334,3324,2512,1821,5316,186,2036,2790,1135,420,121,597,1887,938,1667,2397,812,2210,1952,1136,758,2671,2787,2132,2934,2818,2061,2284,852,2280,1397,1424,1741,1714,771,3005,767,0,809,1,585,1016,1615,2599,1392,4512,1709,1943,2741,3974,2255
"Omistusasunnoissa asuvat taloudet (TE)","2015",4625,1967,423,2163,2787,1174,2078,2951,12,4661,2747,267,0,1153,3099,1468,1859,810,37,975,305,2839,2389,544,2408,656,1319,604,1696,2252,1445,3167,1394,1343,3279,2505,1831,5240,372,2000,2902,1129,429,118,589,1884,970,1721,2366,816,2239,1975,1125,768,2672,2794,2121,2932,2785,2073,2294,863,2296,1481,1428,1761,1712,769,3012,771,0,812,2,592,1009,1593,2628,1396,4459,1723,1945,2711,3949,2288
"Omistusasunnoissa asuvat taloudet (TE)","2016",4667,2018,422,2174,2822,1190,2090,3045,11,4679,2872,395,0,1155,3100,1506,1846,794,37,971,305,2887,2433,545,2414,651,1332,643,1715,2271,1435,3167,1397,1374,3214,2647,1852,5170,361,2006,2921,1118,428,209,586,1891,984,1731,2356,821,2249,2015,1150,775,2669,2818,2112,2946,2808,2076,2304,884,2314,1492,1415,1814,1692,780,2981,786,0,877,2,591,1005,1565,2685,1385,4426,1779,1949,2705,3945,2296
"Omistusasunnoissa asuvat taloudet (TE)","2017",4742,2023,421,2196,2802,1201,2098,3123,10,4836,2954,635,0,1174,3077,1514,1821,793,35,981,304,2894,2456,550,2415,646,1330,664,1731,2238,1452,3144,1489,1376,3188,2727,1842,5152,405,2001,2905,1158,434,268,581,1913,967,1739,2363,826,2264,2024,1161,786,2663,2824,2110,2947,2851,2073,2317,901,2310,1521,1476,1868,1712,779,2937,793,0,931,1,584,1003,1575,2659,1392,4373,1806,1931,2703,3975,2314
"Omistusasunnoissa asuvat taloudet (TE)","2018",4767,2050,425,2199,2801,1217,2096,3160,11,4877,2984,760,0,1206,3076,1512,1848,808,35,982,311,2872,2461,562,2413,633,1322,672,1796,2235,1549,3139,1590,1363,3116,2795,1831,5141,546,1997,2906,1166,430,425,585,1925,966,1741,2353,827,2286,2034,1170,791,2663,2778,2109,2965,2924,2073,2341,933,2304,1530,1536,1913,1738,780,2954,804,0,924,2,587,985,1552,2671,1382,4304,1848,1912,2666,3979,2320
"Omistusasunnoissa asuvat taloudet (TE)","2019",4803,2059,450,2209,2810,1250,2105,3146,10,4929,3004,932,0,1222,3099,1538,1857,804,35,970,315,2956,2579,557,2445,625,1361,695,1799,2212,1620,3149,1723,1349,3094,2802,1937,5126,738,1974,2897,1171,635,524,590,1910,983,1731,2341,822,2311,2034,1189,803,2670,2762,2128,2973,2934,2079,2337,973,2322,1532,1543,1945,1750,791,2967,813,0,959,1,572,978,1564,2714,1390,4237,1910,1912,2630,4005,2355
