"12f6 -- 8. Asukkaiden pääasiallinen toiminta, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Opiskelijat (PT)","2010",1303,444,131,489,583,308,531,984,69,914,292,0,0,397,733,357,623,282,7,497,47,671,588,169,750,130,454,260,315,709,1024,1155,460,376,884,535,447,1159,0,823,1079,279,76,28,422,485,206,534,567,355,483,552,286,241,958,780,656,960,992,820,732,507,515,988,506,735,530,155,559,254,35,338,1,204,259,421,630,556,2152,437,535,757,1777,312
"Opiskelijat (PT)","2011",1325,420,121,500,557,305,509,955,75,904,281,0,0,413,722,329,601,307,8,461,54,691,578,170,684,135,435,251,379,680,999,1163,444,363,878,545,436,1194,0,823,1110,265,88,26,435,525,202,504,564,349,470,538,266,227,1036,751,632,908,948,803,691,471,503,1060,511,729,545,145,539,254,41,365,1,214,263,418,667,556,2147,396,482,782,1774,334
"Opiskelijat (PT)","2012",1222,400,109,516,568,306,519,1143,80,940,287,1,0,413,727,291,584,302,5,425,55,631,613,169,735,124,454,293,408,724,967,1130,449,339,845,547,468,1246,129,823,1218,283,108,25,393,518,199,513,593,344,472,510,290,223,1031,800,587,866,909,777,671,480,466,1107,514,776,555,140,546,248,27,400,0,232,274,421,677,553,2169,434,487,767,1900,343
"Opiskelijat (PT)","2013",1177,406,91,500,562,289,509,1085,70,917,298,52,0,409,751,312,569,311,7,433,45,698,578,170,710,123,461,313,415,748,991,1150,444,349,980,545,517,1232,149,841,1263,296,202,30,411,532,219,511,602,332,485,478,286,231,1016,818,652,902,919,763,653,555,495,1161,518,769,581,171,515,271,32,372,26,239,295,440,745,604,2253,429,451,807,1914,381
"Opiskelijat (PT)","2014",1262,413,108,501,540,272,518,1096,59,935,315,111,0,432,735,287,574,325,4,444,62,712,609,163,769,133,476,338,421,809,965,1144,456,327,876,573,516,1231,171,877,1276,306,233,33,415,521,234,547,642,347,490,475,301,228,1106,855,686,852,904,771,641,523,491,1215,509,800,567,148,517,249,28,398,46,249,278,435,820,587,2333,412,458,822,1986,377
"Opiskelijat (PT)","2015",1258,434,111,508,564,279,507,1068,54,914,353,142,0,394,737,310,553,313,4,471,61,684,616,138,748,148,536,349,420,823,952,1190,455,337,929,578,518,1255,229,811,1254,310,265,33,393,517,212,541,615,358,515,425,320,231,1077,789,693,853,912,791,632,561,454,1243,531,850,552,155,560,252,23,374,50,259,338,462,898,626,2361,411,504,830,1963,430
"Opiskelijat (PT)","2016",1198,428,104,518,564,290,507,1038,42,916,372,248,0,405,700,305,557,309,4,445,62,681,597,145,716,108,527,358,449,778,922,1210,464,321,876,536,535,1136,188,858,1252,293,267,66,395,485,203,513,621,329,500,433,271,220,1085,817,686,814,904,795,604,554,476,1208,475,828,535,144,545,246,26,420,40,266,341,469,918,604,2390,407,507,825,2003,441
"Opiskelijat (PT)","2017",1212,402,111,479,535,285,526,1045,41,917,365,496,0,388,689,321,539,312,1,443,60,698,624,134,747,122,511,303,444,709,864,1092,485,321,860,558,511,1170,206,729,1224,273,280,79,409,466,229,546,560,347,476,426,271,227,1043,850,676,747,905,763,580,591,443,1213,489,820,539,159,540,254,24,480,32,239,311,491,908,606,2443,428,492,817,2010,452
"Opiskelijat (PT)","2018",1227,419,86,459,527,276,515,1036,47,877,364,527,0,415,659,299,556,280,4,450,54,687,536,141,745,120,541,267,438,625,910,980,479,325,834,511,466,1150,215,695,1328,287,269,143,386,472,195,489,570,322,454,415,251,212,1013,845,676,825,898,744,554,622,419,1250,476,779,537,145,485,253,17,458,38,205,298,450,964,595,2392,407,482,791,1967,450
"Opiskelijat (PT)","2019",1336,468,121,522,586,303,533,1084,59,945,366,611,0,358,786,342,591,323,2,426,64,752,606,148,728,123,564,304,444,714,952,1065,554,287,906,564,467,1239,266,780,1526,280,394,170,403,494,205,575,623,342,455,395,278,213,1064,889,715,806,928,748,534,605,397,1300,517,816,588,160,495,243,9,472,31,192,304,450,940,629,2326,474,485,760,1972,489
