"12f1 -- 3. Asukkaiden käytettävissä olevat rahatulot, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Asukkaiden ostovoimakertymä (HR)","2010",450113021,199238181,57494047,329088637,276932898,131710993,199107362,273698255,14094232,377511316,172798810,0,0,89035099,257952685,147116954,156606668,57520899,5082745,111890708,18187869,195702404,244607024,88105564,187481003,36674113,118558672,69036903,97070211,160871037,135691641,228451201,103217870,86024059,233688653,158239348,110714552,376994545,0,157980860,201792662,134381438,27310276,12078471,70233659,148618977,70747969,138531314,153745201,86566292,163244994,146118260,88249964,53230485,216247034,193753923,149568507,220486651,176525727,157796726,152406366,87338054,149246223,144622330,129071444,206924366,119222504,87179872,184926303,89826091,8568515,80136945,814947,60767628,61410144,105964875,173073400,142996428,381303865,123553947,121011850,169204418,369133295,139417154
"Asukkaiden ostovoimakertymä (HR)","2011",478533816,209744982,61719316,349071105,287306363,138323036,205493444,279973462,14979665,389786591,187267451,0,0,92510815,270297336,156981220,171722605,59877271,5603782,117590069,19087797,204135262,262039110,88314421,189582333,37022401,121452323,78523236,111617408,168831340,138959384,238198768,106839793,86800262,243693013,167047118,116589738,390063305,0,164117674,225369963,147334004,36053184,12180115,71600486,153617385,71498516,145079870,156346178,89095687,169139110,150703789,90076939,55356987,228403438,199580304,153343617,221881724,180573516,162852635,159293592,90439717,150434274,159877788,130127632,215840389,122121150,93136361,187104667,96256056,9218154,85369459,816242,70911115,64204815,108415290,177423658,141516651,390275396,126612623,124915891,177209162,373403809,145606647
"Asukkaiden ostovoimakertymä (HR)","2012",491909715,207852033,60376183,317635495,292840284,135739289,208818068,291468354,14133006,378334319,205577247,2844498,0,100146639,273089496,160731958,169908119,60530598,5680965,119283240,19078310,206966881,247422888,91604367,190724144,38113062,128571983,84731745,119693205,175192581,141935657,245703550,107825450,88561183,254147768,172086210,125442101,400030111,10112072,168658289,251210228,133158188,41828646,10591329,73425889,159734038,71635848,144140161,163997752,90591905,172324608,152549463,95323958,57000553,235025991,206500138,154705603,228071611,185002088,167847000,162871440,92013825,155598408,173135083,135752011,226588752,126817958,90356098,189947345,88830065,9033233,89385835,1010581,62269979,69799582,110455673,197790579,137726648,403880184,125918854,127912848,182072133,381074874,164814145
"Asukkaiden ostovoimakertymä (HR)","2013",514468188,218457368,63565478,332697298,297841839,136472461,211836102,427234694,15353926,394336860,223656869,21948608,0,108201168,275423932,158827491,168871874,61479078,5315942,118214810,19496279,211926769,255094570,79277903,195890148,37903093,125364746,90772821,125784068,177168099,141466945,247988352,110304802,91465566,258340260,204868631,131838239,409599609,26263299,169991628,262157514,137139936,51516517,11717295,74765050,163598454,76180060,147389464,167600949,91787478,176491352,155707879,91722954,58124756,239230539,216135121,157216160,229177315,188867275,170795866,164512922,98759069,157518784,178300161,138955796,231032043,127036766,92000798,190029570,91048507,8767360,89683743,8907912,68000216,72827559,113326611,203207242,151583386,405103316,127540400,129068359,188259118,386003040,170458428
"Asukkaiden ostovoimakertymä (HR)","2014",520889550,221940674,66543150,352951711,302951655,139372113,220251927,322505446,15643382,397151807,230354867,48654573,0,107460568,288114206,160799031,174986245,64339042,5118999,119027191,19334851,217173917,267079351,87946283,199766175,38153880,127896736,90192874,127571734,182305164,143897473,252661021,114653527,92530956,262946605,184293300,133758425,416402483,34089562,175238922,274329255,135451512,57315280,11506388,76908330,167976914,74713632,153746912,173049194,91015557,178214933,159288007,92158964,58478571,239789483,222035189,159287251,233561850,191501241,171763850,165796869,98599006,158718499,182500875,145576457,234379095,127768450,82667773,196274141,91487035,8182487,89690490,13518502,68620942,74538435,115809233,216924741,145471488,412264984,131125539,130093931,190199730,388952469,179232849
"Asukkaiden ostovoimakertymä (HR)","2015",569112559,231501417,71675209,366829462,319190681,150584003,260230559,344498453,15600011,405214494,249489463,53635110,0,108588498,288626760,167097773,178083676,67759355,5440129,121441433,19930323,222719523,278274713,99817079,205048425,38998377,132640603,91905009,130812835,184088742,148069192,254289889,114813578,93631960,269864439,192258068,140664419,426986838,50369851,178330411,301225940,146495738,60129248,12229032,76236534,172261953,77675821,159685400,175483613,95332776,183935072,162719142,92177180,59933515,240520215,224226366,163656153,236880993,193271280,175125385,167684794,105549139,159268512,190972622,144299447,239039835,130094422,91689140,198921884,96403620,8348814,91042920,15452723,74945400,74237245,117502755,225412495,147525478,419733195,134617406,135978774,192156837,393155944,185567503
"Asukkaiden ostovoimakertymä (HR)","2016",621218859,240042091,65600013,331579906,313700708,154102037,231355965,365413488,15640542,417324121,268561742,70678426,0,109593429,299094533,169764410,177979303,65812777,5209603,123221432,19618107,235989349,272075915,137165575,206699466,39310352,133340200,94733100,131092655,186523535,151425644,258412635,117674821,95063569,275907800,208132439,147693610,441240169,57660648,184635224,300124242,131597108,61970541,25294314,76237112,172626754,79424618,162392492,177822265,92929328,183524110,164435659,93028724,61200300,247942873,228707438,161636196,241151870,196966681,181494920,167607191,110278341,162677624,194387049,143818392,241401494,131612665,103984663,195379537,93068139,7894347,106204253,15545293,72226547,76534235,115798363,235403746,148958639,425863178,139876185,139490570,193025276,397871456,191177674
"Asukkaiden ostovoimakertymä (HR)","2017",681838033,257020863,75500560,362404229,349473629,159636285,240444821,394287700,15489890,453080717,277276560,124723445,0,115766699,304877191,177672417,186774504,69861543,5072935,124062206,20998636,241008220,305867041,113475919,211489541,39849287,134947167,98073841,136058845,191914764,155080850,263467374,132859901,97525963,288047350,224161306,155065472,462032528,67831567,187918424,309687792,141985420,63400713,30056734,78317851,181787940,81449484,167556469,182842606,97097655,193558676,172419542,94397188,61404679,248543254,233907472,163433437,244719416,205228152,203212211,172044517,120054189,167875404,201703172,151466513,250633747,136765417,102771652,201113236,108044739,7735213,116267823,16360136,74736935,79412261,118657423,248751325,153600281,432670195,145512174,140749787,196054888,417668145,195969677
"Asukkaiden ostovoimakertymä (HR)","2018",725752102,276258873,82232830,398233266,375103189,187686888,273605274,416677528,15463325,471508830,294923529,159854211,0,126375863,317953852,186171067,194627800,71948532,5140349,126603246,21939786,251096833,303403426,110768450,220271730,41432396,141345221,102133927,147307654,198780133,169847501,265802843,142027399,103840558,294346311,239844173,163037679,497265531,78149809,196399785,329518259,156603724,65666259,57107166,81837273,183831351,82954239,172847482,192083813,98928902,194715930,175602013,98892622,64747808,259206080,240020719,172213220,255970977,214485433,189990884,177772593,128633158,169353681,208193155,159033813,262466861,142804711,123584474,209333680,99997724,8211933,121319643,17388999,83128099,80403347,115890665,267265330,159671223,440341147,151457362,143385708,202280215,430821772,206676061
"Asukkaiden ostovoimakertymä (HR)","2019",673689606,291108870,85096078,425146913,379606569,181303861,277623655,433135738,16396804,501030910,300067192,178742518,0,130858142,330976147,191685547,200281722,74204027,5282752,130547276,22520773,264007648,330507116,90892273,225051571,41912297,147110695,106483193,145172465,204302055,178029400,273407039,170007564,102127974,301712952,247352791,173930182,485728960,106888589,202069738,336269870,159722635,86566917,65456152,79432386,188909546,88424387,175602423,200663448,100822247,205759833,180471782,101106952,67361255,264260787,245130733,179675111,258510003,221853618,194997649,183485340,132894630,174630485,211605293,162999413,287772344,150171279,117291522,220706487,103767836,8237245,128299396,17201518,79919020,81591020,121216679,280004129,160045030,447576574,161448183,149967431,208433713,442920921,211631824
