"12f2 -- 4. Talouksien koko ja elämänvaihe, 2010-2022"

"Tiedot","Vuosi","00100  Helsinki keskusta - Etu-Töölö (Helsinki)","00120  Punavuori - Bulevardi (Helsinki)","00130  Kaartinkaupunki (Helsinki)","00140  Kaivopuisto - Ullanlinna (Helsinki)","00150  Punavuori - Eira - Hernesaari (Helsinki)","00160  Katajanokka (Helsinki)","00170  Kruununhaka (Helsinki)","00180  Kamppi - Ruoholahti (Helsinki)","00190  Suomenlinna (Helsinki)","00200  Pohjois-Lauttasaari (Helsinki)","00210  Vattuniemi (Helsinki)","00220  Jätkäsaari (Helsinki)","00230  Helsinki postikeskus (Helsinki)","00240  Länsi-Pasila (Helsinki)","00250  Taka-Töölö (Helsinki)","00260  Keski-Töölö (Helsinki)","00270  Pohjois-Meilahti (Helsinki)","00280  Ruskeasuo (Helsinki)","00290  Meilahden sairaala-alue (Helsinki)","00300  Pikku Huopalahti (Helsinki)","00310  Kivihaka (Helsinki)","00320  Etelä-Haaga (Helsinki)","00330  Munkkiniemi (Helsinki)","00340  Kuusisaari - Lehtisaari (Helsinki)","00350  Munkkivuori - Niemenmäki (Helsinki)","00360  Pajamäki (Helsinki)","00370  Reimarla (Helsinki)","00380  Pitäjänmäen yritysalue (Helsinki)","00390  Konala (Helsinki)","00400  Pohjois-Haaga (Helsinki)","00410  Malminkartano (Helsinki)","00420  Kannelmäki (Helsinki)","00430  Maununneva - Kuninkaantammi (Helsinki)","00440  Lassila (Helsinki)","00500  Sörnäinen - Harju (Helsinki)","00510  Alppila - Vallila (Helsinki)","00520  Itä- ja Keski-Pasila (Helsinki)","00530  Kallio (Helsinki)","00540  Kalasatama - Sompasaari (Helsinki)","00550  Vallila - Hermanni (Helsinki)","00560  Toukola - Kumpula - Vanhakaupunki (Helsinki)","00570  Kulosaari (Helsinki)","00580  Kalasatama - Kyläsaari (Helsinki)","00590  Kruunuvuorenranta (Helsinki)","00600  Koskela (Helsinki)","00610  Käpylä (Helsinki)","00620  Metsälä - Etelä-Oulunkylä (Helsinki)","00630  Maunula (Helsinki)","00640  Oulunkylä - Patola (Helsinki)","00650  Veräjämäki (Helsinki)","00660  Länsi-Pakila (Helsinki)","00670  Paloheinä (Helsinki)","00680  Itä-Pakila (Helsinki)","00690  Torpparinmäki (Helsinki)","00700  Malmi (Helsinki)","00710  Pihlajamäki - Viikinmäki (Helsinki)","00720  Pukinmäki (Helsinki)","00730  Tapanila (Helsinki)","00740  Siltamäki (Helsinki)","00750  Tapulikaupunki (Helsinki)","00760  Puistola - Heikinlaakso (Helsinki)","00770  Jakomäki - Alppikylä (Helsinki)","00780  Tapaninvainio (Helsinki)","00790  Viikki (Helsinki)","00800  Länsi-Herttoniemi (Helsinki)","00810  Herttoniemenranta (Helsinki)","00820  Roihuvuori (Helsinki)","00830  Tammisalo (Helsinki)","00840  Yliskylä (Helsinki)","00850  Jollas (Helsinki)","00860  Santahamina (Helsinki)","00870  Gunillanmäki - Hevossalmi (Helsinki)","00880  Keski-Herttoniemi - Roihupelto (Helsinki)","00890  Östersundom (Helsinki)","00900  Puotinharju (Helsinki)","00910  Puotila (Helsinki)","00920  Myllypuro (Helsinki)","00930  Itäkeskus - Marjaniemi (Helsinki)","00940  Kontula - Vesala - Kivikko (Helsinki)","00950  Vartioharju (Helsinki)","00960  Pohjois-Vuosaari (Helsinki)","00970  Mellunmäki (Helsinki)","00980  Etelä-Vuosaari (Helsinki)","00990  Aurinkolahti (Helsinki)"
"Taloudet yhteensä (TE)","2010",9469,3735,789,4343,5501,2289,3920,6840,318,8290,3254,0,0,2485,6675,3078,4403,1581,106,2905,544,5801,4710,709,5138,1159,3045,1820,2558,5229,4086,7288,1869,2488,8787,5948,3588,12254,0,5651,5326,1894,577,140,2003,4176,1468,4489,4008,1976,2567,2185,1408,1011,6523,6391,4522,4983,4320,4210,2994,3117,3103,4024,4085,5448,4110,912,4077,1162,200,2244,35,657,2060,3431,5007,3236,12602,2257,3610,5325,10782,3259
"Taloudet yhteensä (TE)","2011",9601,3753,789,4363,5538,2297,3908,6720,327,8324,3394,0,0,2546,6728,3078,4434,1561,110,2912,552,5899,4712,711,5093,1140,3062,2098,2892,5312,4102,7387,1880,2468,8844,5984,3573,12302,0,5667,5570,1883,759,137,1989,4196,1450,4522,4002,1997,2560,2192,1403,1009,6683,6389,4525,5028,4319,4234,2999,3145,3104,4366,4057,5563,4091,907,4085,1174,208,2366,35,664,2086,3378,5030,3232,12577,2265,3622,5446,10838,3358
"Taloudet yhteensä (TE)","2012",9765,3790,798,4354,5689,2325,3898,7158,313,8300,3617,72,0,2636,6729,3095,4469,1539,104,2913,554,5863,4661,708,5122,1156,3084,2178,3061,5327,4093,7433,1891,2462,8905,5964,3674,12328,332,5646,6217,1898,891,132,1998,4190,1453,4422,4059,1986,2581,2189,1413,1039,6847,6355,4473,5059,4328,4253,3007,3094,3125,4617,4090,5724,4105,905,4095,1170,196,2409,39,663,2268,3381,5396,3136,12641,2270,3652,5451,10842,3771
"Taloudet yhteensä (TE)","2013",9800,3838,789,4363,5671,2314,3961,7354,322,8349,3759,534,0,2776,6716,3067,4425,1550,104,2918,556,5905,4620,708,5271,1131,3062,2310,3180,5336,4059,7462,1894,2478,8842,6074,3773,12335,671,5615,6350,1884,1199,135,1998,4199,1470,4463,4161,1979,2569,2209,1413,1052,6936,6592,4501,5036,4366,4295,3004,3336,3140,4714,4114,5774,4116,916,4087,1177,180,2387,259,664,2316,3439,5389,3236,12609,2265,3643,5543,10847,3881
"Taloudet yhteensä (TE)","2014",9874,3819,793,4353,5629,2301,3951,7570,321,8384,3895,1063,0,2766,6678,3061,4442,1593,101,2912,547,5942,4635,734,5311,1130,3152,2334,3204,5424,4076,7530,1933,2482,8892,6095,3790,12319,810,5651,6507,1881,1401,141,1986,4330,1489,4553,4219,1985,2584,2210,1419,1057,6958,6679,4484,5097,4431,4229,3027,3187,3153,4802,4138,5794,4097,913,4087,1180,166,2380,347,659,2334,3473,5762,3223,12654,2247,3649,5556,10843,4017
"Taloudet yhteensä (TE)","2015",9969,3854,828,4395,5670,2282,4027,7678,319,8344,4027,1128,0,2732,6743,3090,4455,1616,102,2928,552,6011,4610,707,5329,1138,3161,2307,3248,5379,4152,7502,1933,2510,8927,6175,3883,12317,1094,5634,6786,1878,1505,138,1986,4307,1521,4649,4229,1995,2618,2235,1400,1070,6944,6645,4538,5089,4423,4281,3031,3320,3173,4949,4129,5859,4098,917,4125,1178,167,2412,422,666,2329,3464,5883,3262,12776,2349,3780,5556,11008,4134
"Taloudet yhteensä (TE)","2016",10042,3883,818,4427,5767,2262,4020,7880,310,8401,4197,1562,0,2716,6804,3115,4460,1602,102,2896,542,6271,4624,715,5320,1150,3164,2408,3239,5485,4215,7588,2008,2517,8956,6328,3997,12214,1211,5733,6897,1879,1505,478,1992,4277,1548,4612,4251,1957,2618,2249,1403,1069,7031,6686,4535,5136,4434,4400,3038,3366,3193,4990,4034,5939,4056,915,4119,1180,160,2868,415,665,2363,3420,6019,3254,12892,2427,3821,5573,11064,4254
"Taloudet yhteensä (TE)","2017",10205,3933,818,4404,5759,2304,4036,8044,308,8688,4397,2807,0,2782,6796,3148,4491,1610,92,2891,567,6322,4783,740,5365,1119,3173,2446,3294,5504,4282,7523,2231,2572,8986,6524,4003,12296,1266,5676,6906,1928,1523,569,1985,4340,1546,4687,4268,1997,2627,2250,1416,1076,7012,6795,4537,5135,4538,4458,3044,3640,3195,5095,4158,5985,4115,912,4210,1189,154,3029,426,668,2376,3446,6206,3296,12957,2522,3816,5605,11381,4341
"Taloudet yhteensä (TE)","2018",10301,3961,814,4414,5736,2317,4056,8123,294,8717,4426,3342,0,3009,6846,3113,4557,1616,95,2894,582,6300,4798,767,5343,1147,3209,2458,3412,5498,4565,7422,2457,2644,8903,6619,4002,12345,1450,5697,7260,1930,1546,1157,1987,4304,1541,4676,4245,2006,2636,2252,1417,1086,7090,6779,4647,5164,4644,4462,3042,3778,3172,5187,4188,6023,4180,909,4197,1194,158,3077,434,667,2376,3268,6560,3283,12869,2550,3829,5624,11561,4458
"Taloudet yhteensä (TE)","2019",10277,3962,852,4438,5730,2492,4081,8223,309,8779,4443,3686,0,3027,6937,3167,4565,1626,99,2896,582,6395,4938,756,5330,1152,3284,2482,3399,5486,4689,7501,3039,2597,8860,6641,4107,12365,2039,5686,7237,1924,1912,1325,1890,4286,1558,4678,4447,1984,2680,2265,1439,1102,7097,6897,4713,5215,4700,4461,3046,3816,3203,5177,4169,6503,4254,928,4227,1201,155,3134,422,651,2368,3286,6686,3241,12816,2688,3868,5743,11608,4469
